tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100501b	250	545	40	-	1.02	70.2	12.00	7.00	0.84	0.83	0.84	0.17	0.03	0.54	10.07	1.71	-1.00
su100501b	250	560	40	-	1.02	68.9	13.00	8.00	0.86	0.84	0.85	0.17	0.03	0.40	8.73	1.59	-1.00
su100501b	250	580	40	-	1.02	67.8	14.00	8.00	0.87	0.85	0.86	0.17	0.03	0.37	8.57	1.49	-1.00
su100501b	300	560	40	-	1.02	67.7	12.00	8.00	0.81	0.79	0.79	0.18	0.03	0.30	8.73	1.46	-1.00
su100501b	300	580	40	-	1.02	66.6	13.00	8.00	0.83	0.80	0.80	0.18	0.03	0.27	8.57	1.37	-1.00
su100501c	0	515	40	-	1.01	67.0	13.00	6.00	0.88	0.83	0.85	0.18	0.03	4.72	0.13	3.90	-1.00
su100501c	0	530	40	-	1.01	64.6	14.00	7.00	0.97	0.91	0.95	0.16	0.03	3.41	0.17	3.86	-1.00
su100501c	0	545	40	-	1.01	63.4	15.00	7.00	1.00	0.93	0.98	0.16	0.03	2.69	0.16	3.66	-1.00
su100501c	0	560	40	-	1.01	62.6	16.00	8.00	1.01	0.95	0.99	0.16	0.02	2.20	0.65	3.50	-1.00
su100501c	0	580	40	-	1.01	62.2	17.00	8.00	1.02	0.95	1.00	0.15	0.02	1.91	0.65	3.34	-1.00
su100501c	100	515	40	-	1.01	66.2	12.00	6.00	0.85	0.80	0.82	0.19	0.04	4.50	0.13	3.80	-1.00
su100501c	100	530	40	-	1.01	63.8	13.00	7.00	0.93	0.87	0.91	0.17	0.03	3.21	0.17	3.72	-1.00
su100501c	100	545	40	-	1.01	62.7	14.00	7.00	0.96	0.90	0.95	0.16	0.03	2.52	0.16	3.51	-1.00
