tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.4	358.6		g	-4.0	1.279e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	90.0		g	-6.8	1.275e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	13.2		g	87.8	1.043e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	175.5		g	-7.8	1.258e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	272.0		g	-5.0	1.231e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak04d	ak04	ak04d		ak04d:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	127.3		g	-88.4	1.284e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.4	170.2		g	-78.9	6.911e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	4.5		g	-1.8	1.595e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	84.9		g	-5.7	1.588e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	cb01a	cb01	cb01a		cb01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	14.4		g	87.7	1.511e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
