tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
86.8	0	0	0	This study			-77										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008f	jm008			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	353.3	77.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm008f	jm008	pmagpy-2.59	jm008f1	
78.3	0	0	0	This study			-78										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008g	jm008			2009-08-15T00:00:00Z
87.9	0	0	0	This study			-81										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008h	jm008			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	76.3	86.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm008h	jm008	pmagpy-2.59	jm008h1	
102.6	0	0	0	This study			-81										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008i	jm008			2009-08-15T00:00:00Z
82.4	0	0	0	This study			-80.5										extrusive:igneous	lava flow	70.95979	basalt	351.29835	FS-LOC-GPS:SO-POM:SO-SUN	g		jm008j	jm008			2009-08-15T00:00:00Z
193.8	0	0	0	This study			-69										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm009a	jm009			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	358.5	79.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm009a	jm009	pmagpy-2.59	jm009a1	
210.8	0	0	0	This study			-55										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm009b	jm009			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	5.4	78.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm009b	jm009	pmagpy-2.59	jm009b1	
204.2	0	0	0	This study			-56										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm009c	jm009			2009-08-05T00:00:00Z
				This study	DE-SPEC	sample direction		A	24.8	81.8	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm009c	jm009	pmagpy-2.59	jm009c1	
184.9	0	0	0	This study			-34										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009d	jm009			2009-08-15T00:00:00Z
				This study	DE-SPEC	sample direction		A	78.1	80.9	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm009d	jm009	pmagpy-2.59	jm009d1	
198.1	0	0	0	This study			-22										extrusive:igneous	lava flow	70.96244	basalt	351.30685	FS-LOC-GPS:SO-POM:SO-SUN	g		jm009e	jm009			2009-08-15T00:00:00Z
