tab 	pmag_sites
er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	site_description	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc
This study	770	0770c023008 : 0770c023009 : 0770c023019 : 0770c023020 : 0770c032050 : 0770c041016 : 0770c04x014 : 0770c091081 : 0770c091084	0770c	0770c0230081 : 0770c0230082 : 0770c0230093 : 0770c0230094 : 0770c0230193 : 0770c0230194 : 0770c0230201 : 0770c0230202 : 0770c0320501 : 0770c0410161 : 0770c0410162 : 0770c04x0141 : 0770c04x0142 : 0770c04x0143 : 0770c0910811 : 0770c0910812 : 0770c0910841 : 0770c0910842	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	38.9	1	Ma	1.638e-05	9	6.423e-06	39.2
This study	781	0781a088010	0781a	0781a0880101	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	2.6	0.1	Ma	5.708e-05	1	0	0
This study	801	0801c091034	0801c	0801c0910341	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	164.4	3	Ma	8.114e-06	1	0	0
This study	802	0802a582101	0802a	0802a5821011 : 0802a5821012 : 0802a5821013 : 0802a5821014	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	114.6	3.2	Ma	2.161e-05	1	0	0
This study	803	0803d693068 : 0803d693113 : 0803d702120	0803d	0803d6930682 : 0803d6931132 : 0803d7021201 : 0803d7021202	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	88	6	Ma	2.596e-05	3	2.086e-05	80.36
This study	807	0807c742027 : 0807c742089 : 0807c742091 : 0807c742097 : 0807c751027 : 0807c752004 : 0807c752032 : 0807c752039 : 0807c752066 : 0807c752072 : 0807c754096 : 0807c771035 : 0807c771037 : 0807c772034 : 0807c772114 : 0807c781034 : 0807c791058 : 0807c792143 : 0807c79x026 : 0807c825015 : 0807c857130 : 0807c861105 : 0807c862006 : 0807c86x091 : 0807c871048 : 0807c871073 : 0807c872091 : 0807c881057 : 0807c892148 : 0807c903094 : 0807c921120	0807c	0807c7420272 : 0807c7420273 : 0807c7420893 : 0807c7420912 : 0807c7420913 : 0807c7420972 : 0807c7420973 : 0807c7510272 : 0807c7510273 : 0807c7520042 : 0807c7520043 : 0807c7520045 : 0807c7520322 : 0807c7520323 : 0807c7520393 : 0807c7520663 : 0807c7520722 : 0807c7520726 : 0807c7540962 : 0807c7710352 : 0807c7710353 : 0807c7710373 : 0807c7720342 : 0807c7720343 : 0807c7721141 : 0807c7721142 : 0807c7721143 : 0807c7721144 : 0807c7810344 : 0807c7810345 : 0807c7910582 : 0807c7910583 : 0807c7921432 : 0807c79x0261 : 0807c79x0262 : 0807c8250152 : 0807c8250153 : 0807c8571303 : 0807c8611052 : 0807c8611055 : 0807c8611056 : 0807c8620062 : 0807c8620063 : 0807c86x0913 : 0807c8710483 : 0807c8710486 : 0807c8710732 : 0807c8710733 : 0807c8720913 : 0807c8810572 : 0807c8810573 : 0807c8921482 : 0807c9030941 : 0807c9211201	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	122.4	0.8	Ma	2.534e-05	31	1.462e-05	57.69
This study	834	0834b141032 : 0834b152056 : 0834b161047 : 0834b162022 : 0834b181003 : 0834b181020 : 0834b201041 : 0834b261036 : 0834b312047 : 0834b331003 : 0834b351003 : 0834b361010	0834b	0834b1410323 : 0834b1410325 : 0834b1410326 : 0834b1410327 : 0834b1520562 : 0834b1520563 : 0834b1520564 : 0834b1520565 : 0834b1520566 : 0834b1610472 : 0834b1610473 : 0834b1620221 : 0834b1620222 : 0834b1620223 : 0834b1620224 : 0834b1810032 : 0834b1810033 : 0834b1810202 : 0834b1810203 : 0834b2010412 : 0834b2010413 : 0834b2010414 : 0834b2010415 : 0834b2610362 : 0834b2610363 : 0834b3120471 : 0834b3120472 : 0834b3120473 : 0834b3120474 : 0834b3120475 : 0834b3310032 : 0834b3310033 : 0834b3510032 : 0834b3510033 : 0834b3610101 : 0834b3610102 : 0834b3610103 : 0834b3610105	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	6	0.2	Ma	1.025e-05	12	2.684e-06	26.18
This study	835	0835b041083	0835b	0835b0410831 : 0835b0410833	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	2.8	1	Ma	2.112e-05	1	0	0
This study	836	0836a032003 : 0836a037055 : 0836a037073 : 0836a04c003	0836a	0836a0320031 : 0836a0320032 : 0836a0370551 : 0836a0370552 : 0836a0370731 : 0836a0370732 : 0836a04c0032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	1	0.3	Ma	1.325e-05	4	8.824e-06	66.62
This study	836	0836b091100	0836b	0836b0911001 : 0836b0911002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	Recalculated from original measurements; supercedes published results.	1	0.3	Ma	4.167e-05	1	0	0
