tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	sample_description	sample_inferred_age	sample_inferred_age_sigma	sample_inferred_age_unit	sample_int	sample_int_n	sample_int_sigma	sample_int_sigma_perc
This study	474	0474a483p01	0474a	0474a483p011 : 0474a483p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	1.798e-05	2	2.284e-06	12.7
This study	474	0474a484p09	0474a	0474a484p091 : 0474a484p092	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	1.297e-05	2	4.584e-06	35.35
This study	474	0474a491000	0474a	0474a4910001 : 0474a4910002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	1.262e-05	2	8.485e-07	6.724
This study	474	0474a492p04	0474a	0474a492p041 : 0474a492p042	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	3.1	0.2	Ma	2.38e-05	2	1.549e-06	6.505
This study	482	0482d112p04	0482d	0482d112p042	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	0.3	0.3	Ma	1.378e-05	1	0	
This study	482	0482d113p3a	0482d	0482d113p3a2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	0.3	0.3	Ma	3.043e-05	1	0	
This study	483	0483b121000	0483b	0483b1210001 : 0483b1210002	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	9.323e-06	2	5.374e-07	5.764
This study	483	0483b201p13	0483b	0483b201p131 : 0483b201p132	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.673e-05	2	9.369e-06	25.5
This study	483	0483b211p06	0483b	0483b211p061	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.986e-05	1	0	
This study	483	0483b212p1a	0483b	0483b212p1a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	5.126e-06	1	0	
This study	483	0483b221p01	0483b	0483b221p011	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.563e-06	1	0	
This study	483	0483b221p7c	0483b	0483b221p7c2	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.007e-05	1	0	
This study	483	0483b222p03	0483b	0483b222p032	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.278e-05	1	0	
This study	483	0483b232p8a	0483b	0483b232p8a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	5.146e-05	1	0	
This study	483	0483b241p7b	0483b	0483b241p7b1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	6.666e-06	1	0	
This study	483	0483b323p07	0483b	0483b323p071	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	5.512e-06	1	0	
This study	483	0483x211p06	0483x	0483x211p062	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.848e-05	1	0	
This study	483	0483x212p08	0483x	0483x212p082	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	5.357e-05	1	0	
This study	483	0483x213p01	0483x	0483x213p011 : 0483x213p012	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	2.097e-05	2	8.712e-06	41.54
This study	483	0483x221p01	0483x	0483x221p011	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	3.356e-05	1	0	
This study	483	0483x231p8a	0483x	0483x231p8a1	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	IE-SPEC	sample intensity.	2	0.2	Ma	4.802e-05	1	0	
