tab	samples
cooling_rate_corr	cooling_rate_mcd	citations	location	sample_alternatives	sample	scientists	site	method_codes	participantlist	azimuth	bed_dip	bed_dip_direction	geologic_classes	cooling_rate	azimuth_dec_correction	description	dip	height	igsn	lat	lithologies	lon	texture	geologic_types
		This study	McMurdo		mc113d		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113e		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113f		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113g		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113h		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113i		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113j		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113k		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113l		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113m		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc113n		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
		This study	McMurdo		mc114a		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114b		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114c		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114d		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114e		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114f		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114g		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114h		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114i		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
		This study	McMurdo		mc114j		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
