tab 	specimens
citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drats	int_f	int_fvds	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.		15.4	46.8	1.7	9	p	n	0	LP-DIR-T:sr12a3	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr12a	sr12a3
This study	Recalculated from original measurements; supercedes published results.		14.9	45	2.2	9	p	n	0	LP-DIR-T:sr12b1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr12b	sr12b1
This study	Recalculated from original measurements; supercedes published results.		16.2	47.9	0.8	7	p	n	0	LP-DIR-AF:sr12c1	Igneous:Extrusive	Lava Flow					u												Basalt	0.14	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr12c	sr12c1
This study	Recalculated from original measurements; supercedes published results.		18.2	48.5	4.2	9	p	n	0	LP-DIR-T:sr12e1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-T	g	sr12e	sr12e1
This study	Recalculated from original measurements; supercedes published results.		12.5	35.9	0.8	9	p	n	0	LP-DIR-AF:sr12h1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr12h	sr12h1
This study	Recalculated from original measurements; supercedes published results.		339	60.6	2.9	13	p	n	0	LP-DIR-T:sr16a1	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr16a	sr16a1
This study	Recalculated from original measurements; supercedes published results.		356.9	67.5	4.5	13	p	n	0	LP-DIR-T:sr16b1	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr16b	sr16b1
This study	Recalculated from original measurements; supercedes published results.		332.9	65.6	2.7	13	p	n	0	LP-DIR-T:sr16c1	Igneous:Extrusive	Lava Flow					u												Basalt	848	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr16c	sr16c1
This study	Recalculated from original measurements; supercedes published results.		347	67.4	1.7	12	p	n	0	LP-DIR-T:sr16d1	Igneous:Extrusive	Lava Flow					u												Basalt	823	373	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr16d	sr16d1
This study	Recalculated from original measurements; supercedes published results.		7.7	65.3	1	9	p	n	0	LP-DIR-AF:sr16e1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr16e	sr16e1
This study	Recalculated from original measurements; supercedes published results.		342.2	65.5	1.9	6	p	n	0	LP-DIR-T:sr16f1	Igneous:Extrusive	Lava Flow					u												Basalt	823	673	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr16f	sr16f1
This study	Recalculated from original measurements; supercedes published results.		348.4	64.7	0.5	9	p	n	0	LP-DIR-AF:sr16g2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr16g	sr16g2
This study	Recalculated from original measurements; supercedes published results.		71.9	-0.9	4.8	11	p	n	0	LP-DIR-AF:sr19a3	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF	g	sr19a	sr19a3
This study	Recalculated from original measurements; supercedes published results.		169.6	-64	2.2	9	p	n	0	LP-DIR-AF:sr19b3	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr19b	sr19b3
This study	Recalculated from original measurements; supercedes published results.		190.8	-34.8	3.1	14	p	n	0	LP-DIR-T:sr19e2	Igneous:Extrusive	Lava Flow					u												Basalt	923	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr19e	sr19e2
This study	Recalculated from original measurements; supercedes published results.		168.4	-65	1.2	10	p	n	0	LP-DIR-AF:sr19h2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF	g	sr19h	sr19h2
This study	Recalculated from original measurements; supercedes published results.		145.8	27.9	6.1	14	p	n	0	LP-DIR-T:sr19i1	Igneous:Extrusive	Lava Flow					u												Basalt	848	273	K	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-T	g	sr19i	sr19i1
This study	Recalculated from original measurements; supercedes published results.		339.1	56.2	2.1	9	p	n	0	LP-DIR-T:sr20c1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr20c	sr20c1
This study	Recalculated from original measurements; supercedes published results.		342	60.3	1.7	9	p	n	0	LP-DIR-AF:sr20d2	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr20d	sr20d2
This study	Recalculated from original measurements; supercedes published results.		332	55.3	1	10	p	n	0	LP-DIR-AF:sr20e1	Igneous:Extrusive	Lava Flow					u												Basalt	0.16	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr20e	sr20e1
This study	Recalculated from original measurements; supercedes published results.		337.1	54	3.7	9	p	n	0	LP-DIR-T:sr20f1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr20f	sr20f1
This study	Recalculated from original measurements; supercedes published results.		340.1	60.1	1.6	9	p	n	0	LP-DIR-T:sr20g1	Igneous:Extrusive	Lava Flow					u												Basalt	798	473	K	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-T	g	sr20g	sr20g1
This study	Recalculated from original measurements; supercedes published results.		330.4	31.9	0.6	11	p	n	0	LP-DIR-AF:sr20i1	Igneous:Extrusive	Lava Flow					u												Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF	g	sr20i	sr20i1
