age	age_pm	age_high	age_low	site_lat	site_lon	model_lat	model_lon	plate	nn	k	dec	inc	model_vgp_lat	model_vgp_lon	site	site_ID	location	psv10_location	reference	magic_method_code
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67394621	203.5568198	PA	5	297	354.9	35.6	85.1	103	HN44	890	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67278779	203.5591605	PA	6	215	15.9	35.3	75	295.3	HN45	891	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67220858	203.5603309	PA	5	279	354.1	29	82.4	71.9	HN46	892	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67191898	203.5609161	PA	4	736	355.8	29.2	83.6	62.6	HN47	893	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67162938	203.5615013	PA	6	681	359.4	25.8	82.9	28.3	HN48	894	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.67076057	203.5632568	PA	7	784	357.4	27.7	83.6	46.6	HN49	895	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6667061	203.5714491	PA	5	240	358.5	29.2	84.8	39.6	HN50	896	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.6667061	203.5714491	PA	5	198	358.5	26.2	83	35.6	HN51	897	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.66612689	203.5726194	PA	4	63.3	357.1	26.7	82.9	46.9	HN52	898	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.66554768	203.5737898	PA	5	137	2.7	32.4	86	343.3	HN53	899	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.66323084	203.578471	PA	5	179	1.8	43	85.4	224.2	HN54	900	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.11E+00	3.00E-02	999	999	21.56	201.76	20.65975557	203.5854926	PA	4	318	3.2	25.4	82.1	0.4	HN55	901	Hawaii	"Hawaii, USA"	Laj99	GM-KAR:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.66294124	203.5790561	PA	6	222	359.7	24.2	82	25.7	HN56	902	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.56	201.76	20.66091399	203.5831521	PA	5	114	0.1	26.1	83.1	22.8	HN57	903	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
3.10E+00	999	3.20E+00	3.00E+00	21.57	201.73	20.62633119	203.6434461	PA	9	144	344.3	4.1	65.9	65	KA01	904	Hawaii	"Hawaii, USA"	Laj99	GM-CC-STRAT:LP-DC5:LP-DIR-AF:LP-DIR-T
