tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Wulan Wula Hu	06X099	WWH-9	06X099b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	354.8		p	g	43.6	38.6	0.5	Ma	1.7	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X100	WWH-9	06X100b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	20	mT	u	357.6		p	g	48	38.6	0.5	Ma	1.4	9	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X101	WWH-9	06X101b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	359.9		p	g	42.7	38.6	0.5	Ma	0.7	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X102	WWH-9	06X102a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	15.3		p	g	49.7	38.6	0.5	Ma	1.4	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X108	WWH-10	06X108a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	2.6		p	g	46.5	38.6	0.5	Ma	1.2	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X109	WWH-10	06X109a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	25	mT	u	355.9		p	g	45.2	38.6	0.5	Ma	1.1	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X110	WWH-10	06X110b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	25	mT	u	6.7		p	g	40.2	38.6	0.5	Ma	0.9	7	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X111	WWH-10	06X111b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	30	mT	u	5.1		p	g	32.2	38.6	0.5	Ma	1	5	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X112	WWH-10	06X112a	IPGP-2GH	DE-BFL:LP-DIR-T	520	400	°C	u	0.3	Specimen not used to calculate site mean direction.	p	g	35.7	38.6	0.5	Ma	1.4	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X112	WWH-10	06X112b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	359.4		p	g	39.9	38.6	0.5	Ma	0.8	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X113	WWH-10	06X113b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	354		p	g	43.9	38.6	0.5	Ma	0.7	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X114	WWH-10	06X114b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	80	20	mT	u	352.8		p	g	45.9	38.6	0.5	Ma	0.8	6	l	100
Peter C. Lippert	This study	Wulan Wula Hu	06X115	WWH-10	06X115b	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	60	20	mT	u	352.4		p	g	42.3	38.6	0.5	Ma	0.5	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ001	EJU-1	07EJ001a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	60	mT	u	107.3		p	g	-40.6	34.2	1.3	Ma	0.6	7	l	100
Peter C. Lippert	This study	Ejumaima	07EJ001	EJU-1	07EJ001b	IPGP-2GH	DE-BFL:LP-DIR-T	600	500	°C	u	105.5	Specimen not used to calculate site mean direction.	p	g	-41.3	34.2	1.3	Ma	0.5	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ002	EJU-1	07EJ002a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	60	mT	u	114.4		p	g	-42.1	34.2	1.3	Ma	0.9	7	l	100
Peter C. Lippert	This study	Ejumaima	07EJ003	EJU-1	07EJ003a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	160	60	mT	u	113.8		p	g	-52.9	34.2	1.3	Ma	0.8	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ004	EJU-1	07EJ004a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	119.1		p	g	-53.6	34.2	1.3	Ma	0.5	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ005	EJU-1	07EJ005a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	80	mT	u	122.4		p	g	-41.3	34.2	1.3	Ma	1	4	l	100
Peter C. Lippert	This study	Ejumaima	07EJ006	EJU-1	07EJ006a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	80	mT	u	115.8		p	g	-43.8	34.2	1.3	Ma	0.4	4	l	100
Peter C. Lippert	This study	Ejumaima	07EJ007	EJU-1	07EJ007a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	115.4		p	g	-41.3	34.2	1.3	Ma	0.5	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ008	EJU-1	07EJ008a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	118.2		p	g	-46.6	34.2	1.3	Ma	0.4	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ009	EJU-2	07EJ009a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	160	60	mT	u	114		p	g	-45.5	34.2	1.3	Ma	0.7	6	l	100
