tab 	er_ages
age	age_description	age_sigma	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	timescale_eon	timescale_epoch	timescale_era	timescale_period
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X108	WWH-10	06X108a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X109	WWH-10	06X109a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X110	WWH-10	06X110b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X111	WWH-10	06X111b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X112	WWH-10	06X112a	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X112	WWH-10	06X112b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X113	WWH-10	06X113b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X114	WWH-10	06X114b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
38.6	Whole rock.	0.5	Ma	This study	Wulan Wula Hu	06X115	WWH-10	06X115b	Gradstein 2004 : Kuiper et al. 2008	GM-ARAR-II	Phanerozoic	Eocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ001	EJU-1	07EJ001a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ001	EJU-1	07EJ001b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ002	EJU-1	07EJ002a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ003	EJU-1	07EJ003a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ004	EJU-1	07EJ004a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ005	EJU-1	07EJ005a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ006	EJU-1	07EJ006a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ007	EJU-1	07EJ007a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ008	EJU-1	07EJ008a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ009	EJU-2	07EJ009a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ009	EJU-2	07EJ009b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ010	EJU-2	07EJ010a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ011	EJU-2	07EJ011a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ012	EJU-2	07EJ012a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ013	EJU-2	07EJ013a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ014	EJU-2	07EJ014a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ015	EJU-2	07EJ015a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ016	EJU-2	07EJ016a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ016	EJU-2	07EJ016b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ017	EJU-3	07EJ017a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ018	EJU-3	07EJ018a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ018	EJU-3	07EJ018b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ019	EJU-3	07EJ019a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ020	EJU-3	07EJ020a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ021	EJU-3	07EJ021a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ022	EJU-3	07EJ022a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ023	EJU-3	07EJ023a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
34.2		1.3	Ma	Ding et al. 2007	Ejumaima	07EJ023	EJU-3	07EJ023b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
