tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	311.3		g	8.9	1.789e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	309.5		g	5.3	5.814e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	245.5		g	-3.1	1.934e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	262.9		g	0.4	6.168e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.1	198.0		g	-10.1	1.989e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	205.6		g	-17.9	6.138e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	128.9		g	-53.7	2.370e-05	8	u	2.730e+02	1.800e-01	5.000e-05	90.0	-45.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.4	127.4		g	-43.3	7.852e-06	9	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.4	234.1		g	-64.6	2.347e-05	10	u	2.730e+02	1.800e-01	5.000e-05	270.0	-45.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.4	188.3		g	-68.6	7.387e-06	11	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	261.2		g	-16.0	1.998e-05	12	u	2.730e+02	1.800e-01	5.000e-05	270.0	0.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	251.5		g	-18.7	7.479e-06	13	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	208.0		g	34.5	1.693e-05	14	u	2.730e+02	1.800e-01	5.000e-05	180.0	45.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	216.2		g	24.9	4.280e-06	15	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	186.7		g	-44.0	2.465e-05	16	u	2.730e+02	1.800e-01	5.000e-05	180.0	-45.0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	195.2		g	-12.8	5.291e-06	17	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.08	bg2	bg2.08		bg2.08:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	184.9		g	-12.1	1.961e-05	18	u	2.730e+02	1.800e-01	5.000e-05	0.0	-90.0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.4	181.5		g	-78.9	2.988e-06	1	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.1	314.6		g	-7.5	1.816e-05	2	u	2.730e+02	1.800e-01	5.000e-05	315.0	0.0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.2	312.4		g	-19.2	5.627e-06	3	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	238.4		g	-4.7	2.310e-05	4	u	2.730e+02	1.800e-01	5.000e-05	225.0	0.0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.1	264.4		g	-13.9	6.896e-06	5	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-I:LP-AN-ARM	pmagpy-3.10.0	0.2	202.1		g	-4.0	2.246e-05	6	u	2.730e+02	1.800e-01	5.000e-05	180.0	0.0	2.730e+02
	This study	Bushveld	bg2.09	bg2	bg2.09		bg2.09:LP-AN-ARM		LT-AF-Z:LP-AN-ARM	pmagpy-3.10.0	0.3	204.5		g	-15.0	7.502e-06	7	u	2.730e+02	1.800e-01	0.000e+00	0	0	2.730e+02
