tab 	sites
bed_dip	bed_dip_direction	citations	conglomerate_test	contact_test	description	dir_dec	dir_inc	dir_k	dir_n_samples	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_n_samples
7	130.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			28			
		This study				132.6	-54.1	1039	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		28			
		This study				132.3	-47.2	1039	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		28			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 28	132.6	-54.1		1	p	n	100			48.677416		Osler Volcanics, Nipigon Strait, Lower Reversed	271.898722	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	28	52.6136722373039	177.838245917	1
7	130.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			29			
		This study				129.1	-54.5	1149	3	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		29			
		This study				129.3	-47.5	1149	3	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		29			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 29	129.1	-54.5		1	p	n	100			48.679736		Osler Volcanics, Nipigon Strait, Lower Reversed	271.897319	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	29	50.5404827564829	181.098043519	1
6	129.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			30			
		This study				80.5	-80.4	267	5	p	r	100					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		30			
		This study				98.7	-75.8	267	5	p	r	0					Osler Volcanics, Nipigon Strait, Lower Reversed		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		30			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 30	80.5	-80.4		1	p	n	100			48.593955		Osler Volcanics, Nipigon Strait, Lower Reversed	271.782033	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	30	42.493933036856	246.401995312	1
