tab 	samples																			
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz15a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.01E-05	4.15E-08	0.08	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15a	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15a1:hz15a2:hz15a3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.88E-05	1.57E-06	3.22	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15b	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15b1:hz15b2:hz15b3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz15b, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	4.88E-05	1.57E-06	3.22	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15b	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15b1:hz15b2:hz15b3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.00E-05	2.86E-07	0.57	3	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15c	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15c1:hz15c2:hz15c3
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz15c, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	5.00E-05	2.86E-07	0.57	3	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz15c	hz15	thellier_gui.v.2.29:pmagpy-3.3.2	hz15c1:hz15c2:hz15c3
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.50E-05	5.65E-07	1.26	4	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz18a	hz18	thellier_gui.v.2.29:pmagpy-3.3.2	hz18a1:hz18a3:hz18a4:hz18a5
	This study	4.38E+11	ACCEPT	"Paleointensity;V[A]DM;hz18a, Paleointensity; V[A]DM"		Archeologic	Mixed Archeological Objects	4.50E-05	5.65E-07	1.26	4	33.0168	Not Specified	35.568	GM-C14:GM-CC-ARCH:IE-TT:LP-AN-ARM:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz18a	hz18	thellier_gui.v.2.29:pmagpy-3.3.2	hz18a1:hz18a3:hz18a4:hz18a5
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz18b	hz18		
	This study	4.38E+11				Archeologic	Mixed Archeological Objects					33.017	Not Specified	35.568		i	hz18c	hz18		
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.78E-05	4.45E-07	0.93	4	33.017	Not Specified	35.568	IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	i	hz18d	hz18	thellier_gui.v.2.29:pmagpy-3.3.2	hz18d2:hz18d3:hz18d4:hz18d5
