tab	measurements
experiment	specimen	measurement	treat_dc_field	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	meas_field_dc	magn_moment	measurement_standard	measurement_temp	sample	scientists	site
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	88	-0.2966	-39.66	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	89	-0.3138	-40.5	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	90	-0.3309	-41.29	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	91	-0.3482	-42.05	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	92	-0.3653	-42.77	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	93	-0.3824	-43.45	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	94	-0.3996	-44.12	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	95	-0.4167	-44.74	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	96	-0.434	-45.36	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	97	-0.4511	-45.94	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	98	-0.4682	-46.5	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	99	-0.4854	-47.04	u	273	IS06a	Erez ben Yosef	IS06
IS06a-1:LP-HYS	IS06a-1	IS06a-1:LP-HYS1		1	273	This study	SIO-Maud	LP-HYS	g	100	-0.5025	-47.58	u	273	IS06a	Erez ben Yosef	IS06
