tab 	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
1.99	0.02	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.0000279	0.0000004299	1.541	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc111e:mc111d	mc111	pmagpy-2.60	mc111e2:mc111d2											
1.99	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.7		47.9	-67.6	1243.3	7	7				6.9952	0							-78.224		McMurdo	162.787	DE-DI:DE-FM	i		mc111	pmagpy-2.60	mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2							0.9	3.3	57.4	223.9	7
1.99	0.02	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															0.0000279	0.0000004299	1.541	2	-78.224		McMurdo	162.787	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc111e:mc111d	mc111	pmagpy-2.60	mc111e2:mc111d2	3.665E+22	2	5.648E+20	4.322E+22	2	6.66E+20					
																																mc111													
7.63	0.16	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	232.9	75.7	220.9	5		5	0	r	4.9819	0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.441	DA-DIR-GEO:DE-FM			mc112	pmagpy-2.60	mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1											
7.63	0.16	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.2		232.9	75.7	220.9	5	5				4.9819	0							-78.238		McMurdo	163.441	DE-DI:DE-FM	i		mc112	pmagpy-2.60	mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1							4.3	10.1	-68.1	60	5
																																mc112													
6.73	0.085	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3	A	264.4	75.4	504.1	6		6	0	r	5.9901	0	Extrusive:Igneous	Lava Flow					-78.226	Basalt	McMurdo	162.735	DA-DIR-GEO:DE-FM			mc113	pmagpy-2.60	mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1											
6.73	0.085	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															0.00001182	0.000000454	3.842	2			McMurdo		IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc113m:mc113j	mc113	pmagpy-2.60	mc113m1:mc113j1											
6.73	0.085	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3		264.4	75.4	504.1	6	6				5.9901	0							-78.226		McMurdo	162.735	DE-DI:DE-FM	i		mc113	pmagpy-2.60	mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1							2.4	5.8	-61.3	89.3	6
