tab 	images
citations	file	keywords	location	photographers	site	timestamp	title	type
This study	DSC_0013.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	MC205 detail of samples	Outcrop
This study	DSC_0014.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0015.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0016.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0017.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0018.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0019.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0020.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0021.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0022.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	McMurdo	Hubert Staudigel	mc206	2006:12:02:00:00:00.00	MC206 detail of samples	Outcrop
This study	DSC_0091.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0092.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0093.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0094.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0095.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0096.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0097.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0098.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0099.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0100.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0101.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0102.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0103.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0104.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0105.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 detail of samples	Outcrop
This study	DSC_0118.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	McMurdo	Hubert Staudigel	mc207	2006:12:03:00:00:00.00	MC207 outcrop overview	Outcrop
This study	DSC_0107.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	McMurdo	Hubert Staudigel	mc208	2006:12:04:00:00:00.00	MC208 outcrop overview	Outcrop
This study	DSC_0108.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	McMurdo	Hubert Staudigel	mc208	2006:12:04:00:00:00.00	MC208 outcrop overview	Outcrop
This study	DSC_0110.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	McMurdo	Hubert Staudigel	mc208	2006:12:04:00:00:00.00	MC208 outcrop overview	Outcrop
This study	DSC_0119.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	McMurdo	Hubert Staudigel	mc208	2006:12:04:00:00:00.00	MC208 detail of samples	Outcrop
This study	DSC_0120.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	McMurdo	Hubert Staudigel	mc208	2006:12:04:00:00:00.00	MC208 detail of samples	Outcrop
