tab 	sites																																														
	age	age_sigma	age_unit	analysts	citations	criterion	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
	4	4	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc132, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.000003294	1.44E-07	4.365	7	-78.206	Basalt	McMurdo	166.552	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc132e : mc132f : mc132g : mc132h : mc132i : mc132j : mc132k	mc132	pmagpy-2.60	mc132e2 : mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1	4.33E+21	7	1.89E+20	7.19E+21	7	3.14E+20						
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.4	A	36.3	-85.7	235	6		6	0	n	5.9787	0	Igneous : Extrusive	Lava Flow					-78.199	Trachyte	McMurdo	166.584	DE-FM : DA-DIR-GEO			mc133	pmagpy-2.60	mc133b2 : mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1												
	4	4	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.0000463	0.000003454	7.46	2	-78.199	Trachyte	McMurdo	166.584	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc133f : mc133g	mc133	pmagpy-2.60	mc133f1 : mc133g1												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc133, Site VGPA comp: (geog. coord)."	4.4	A	36.3	-85.7	235	6	6				5.9787	0	Igneous : Extrusive	Lava Flow					-78.199	Trachyte	McMurdo	166.584	DE-FM : DE-DI	i		mc133	pmagpy-2.60	mc133b2 : mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1								12	8.5	83	300.6	6
	4	4	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc133, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.0000463	0.000003454	7.46	2	-78.199	Trachyte	McMurdo	166.584	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc133f : mc133g	mc133	pmagpy-2.60	mc133f1 : mc133g1	6.08E+22	2	4.54E+21	6.04E+22	2	4.50E+21						
	9.02	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	12.5	-84.3	886.4	5		5	0	n	4.9955	0	Igneous : Extrusive	Lava Flow					-78.219	Basalt	McMurdo	166.607	DE-FM : DA-DIR-GEO			mc134	pmagpy-2.60	mc134a1 : mc134c1 : mc134e1 : mc134f1 : mc134k1												
	9.02	0.025	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc134, Site VGPA comp: (geog. coord)."	2.6	A	12.5	-84.3	886.4	5	5				4.9955	0	Igneous : Extrusive	Lava Flow					-78.219	Basalt	McMurdo	166.607	DE-FM : DE-DI	i		mc134	pmagpy-2.60	mc134a1 : mc134c1 : mc134e1 : mc134f1 : mc134k1								5.3	5	87.5	273.8	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	264.1	-77.8	215.3	8		8	0	n	7.9675	0	Igneous : Extrusive	Lava Flow					-78.231	Basalt	McMurdo	166.565	DE-FM : DA-DIR-GEO			mc135	pmagpy-2.60	mc135a1 : mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00004108	0	0	1	-78.231	Basalt	McMurdo	166.565	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc135c	mc135	pmagpy-2.60	mc135c2												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc135, Site VGPA comp: (geog. coord)."	3.8	A	264.1	-77.8	215.3	8	8				7.9675	0	Igneous : Extrusive	Lava Flow					-78.231	Basalt	McMurdo	166.565	DE-FM : DE-DI	i		mc135	pmagpy-2.60	mc135a1 : mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2								3.7	7.4	62.9	46.7	8
	1.99	0.3	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	103.4	18.5	513.7	5		4	1	t	4.9932	0	Igneous : Extrusive	Lava Flow					-78.282	Basalt	McMurdo	163.329	DE-FM : DA-DIR-GEO			mc136	pmagpy-2.60	mc136a1 : mc136c1 : mc136d1 : mc136d2 : mc136e1												
	1.99	0.3	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc136, Site VGPA comp: (geog. coord)."	3.5	A	103.4	18.5	513.7	5	5				4.9932	0	Igneous : Extrusive	Lava Flow					-78.282	Basalt	McMurdo	163.329	DE-FM : DE-DI	i		mc136	pmagpy-2.60	mc136a1 : mc136c1 : mc136d1 : mc136d2 : mc136e1								0.7	6.8	-12	264.5	5
	4	4	Ma	@ltauxe	This study	DE-SPEC		8.7	A	71.2	34.2	120.4	5		1	4	t	4.9834	0	Igneous : Extrusive	Lava Flow					-78.261	Basalt	McMurdo	163.257	DE-FM : DA-DIR-GEO			mc137	pmagpy-2.60	mc137a1 : mc137d1 : mc137h1 : mc137j2 : mc137l1												
	1.21	0.09	Ma	@ltauxe	This study	DE-SPEC		4.4	A	83	12.1	473.2	5		1	4	t	4.9958	0	Igneous : Extrusive	Lava Flow					-78.26	Basalt	McMurdo	163.24	DE-FM : DA-DIR-GEO			mc138	pmagpy-2.60	mc138a1 : mc138b1 : mc138d1 : mc138g1 : mc138h1												
	0.882	0.04	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	168.6	79	1124.5	5		5	0	r	4.9964	0	Igneous : Extrusive	Lava Flow					-78.26	Basalt	McMurdo	163.08	DE-FM : DA-DIR-GEO			mc139	pmagpy-2.60	mc139a2 : mc139d1 : mc139e1 : mc139h1 : mc139j2												
	0.882	0.04	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001976	0	0	1	-78.26	Basalt	McMurdo	163.08	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc139c	mc139	pmagpy-2.60	mc139c1												
	0.882	0.04	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc139, Site VGPA comp: (geog. coord)."	2.3	A	168.6	79	1124.5	5	5				4.9964	0	Igneous : Extrusive	Lava Flow					-78.26	Basalt	McMurdo	163.08	DE-FM : DE-DI	i		mc139	pmagpy-2.60	mc139a2 : mc139d1 : mc139e1 : mc139h1 : mc139j2								2.5	4.5	-80	318.7	5
	4	4	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	0.9	-80.8	439.5	8		8	0	n	7.9841	0	Igneous : Extrusive	Lava Flow					-77.46	Basalt	McMurdo	169.23	DE-FM : DA-DIR-GEO			mc14	pmagpy-2.60	mc14a : mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h												
	4	4	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00006945	0.00001431	20.61	3	-77.46	Basalt	McMurdo	169.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT		mc14b : mc14d : mc14h	mc14	pmagpy-2.60	mc14b : mc14d : mc14h												
	4	4	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc14, Site VGPA comp: (geog. coord)."	2.6	A	0.9	-80.8	439.5	8	8				7.9841	0	Igneous : Extrusive	Lava Flow					-77.46	Basalt	McMurdo	169.23	DE-FM : DE-DI	i		mc14	pmagpy-2.60	mc14a : mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h								3.5	5	84.6	172.2	8
	2.043	0.045	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	343.7	-79.2	654.7	7		6	1	n	6.9916	0	Igneous : Extrusive	Lava Flow					-78.276	Basalt	McMurdo	163.004	DE-FM : DA-DIR-GEO			mc140	pmagpy-2.60	mc140a1 : mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1												
	2.043	0.045	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001746	0.000002706	15.5	4	-78.276	Basalt	McMurdo	163.004	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc140a : mc140b : mc140c : mc140d	mc140	pmagpy-2.60	mc140a1 : mc140b1 : mc140c1 : mc140d1												
	2.043	0.045	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc140, Site VGPA comp: (geog. coord)."	2.4	A	343.7	-79.2	654.7	7	7				6.9916	0	Igneous : Extrusive	Lava Flow					-78.276	Basalt	McMurdo	163.004	DE-FM : DE-DI	i		mc140	pmagpy-2.60	mc140a1 : mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1								2.6	4.7	79.8	128.4	7
	1.31	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	133	83.5	549.9	7		7	0	r	6.9891	0	Igneous : Extrusive	Lava Flow					-77.58	Basalt	McMurdo	166.246	DE-FM : DA-DIR-GEO			mc141	pmagpy-2.60	mc141b1 : mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1												
	1.31	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc141, Site VGPA comp: (geog. coord)."	2.6	A	133	83.5	549.9	7	7				6.9891	0	Igneous : Extrusive	Lava Flow					-77.58	Basalt	McMurdo	166.246	DE-FM : DE-DI	i		mc141	pmagpy-2.60	mc141b1 : mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1								4.9	5	-80	235.4	7
	1.225	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2	A	311.9	84.7	585	10		10	0	r	9.9846	0	Igneous : Extrusive	Lava Flow					-77.851	Trachyte	McMurdo	166.68	DE-FM : DA-DIR-GEO			mc142	pmagpy-2.60	mc142b2 : mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2												
	1.225	0.01	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001563	0.00000274	17.54	3	-77.851	Trachyte	McMurdo	166.68	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT : DA-AC-AARM		mc142c : mc142d : mc142k	mc142	pmagpy-2.60	mc142c1 : mc142d1 : mc142k2												
	1.225	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc142, Site VGPA comp: (geog. coord)."	2	A	311.9	84.7	585	10	10				9.9846	0	Igneous : Extrusive	Lava Flow					-77.851	Trachyte	McMurdo	166.68	DE-FM : DE-DI	i		mc142	pmagpy-2.60	mc142b2 : mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2								4.6	3.9	-69.3	144.1	10
	2.08	0.329	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.1	A	29.7	-48.6	172.2	6		6	0	n	5.971	0	Igneous : Extrusive	Lava Flow					-78.244	Basalt	McMurdo	162.879	DE-FM : DA-DIR-GEO			mc143	pmagpy-2.60	mc143a1 : mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1												
	2.08	0.329	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc143, Site VGPA comp: (geog. coord)."	5.1	A	29.7	-48.6	172.2	6	6				5.971	0	Igneous : Extrusive	Lava Flow					-78.244	Basalt	McMurdo	162.879	DE-FM : DE-DI	i		mc143	pmagpy-2.60	mc143a1 : mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1								1.6	9.9	39.6	196.9	6
	1.25	0.5	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4	A	194.4	79.9	195.5	8		7	1	r	7.9667	0	Igneous : Extrusive	Lava Flow					-77.85	Trachyte	McMurdo	166.688	DE-FM : DA-DIR-GEO			mc144	pmagpy-2.60	mc144a1 : mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2												
	1.25	0.5	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00001425	0.000005946	41.73	4	-77.85	Trachyte	McMurdo	166.688	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc144e : mc144f : mc144h : mc144k	mc144	pmagpy-2.60	mc144e1 : mc144f1 : mc144h1 : mc144k1												
	1.25	0.5	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc144, Site VGPA comp: (geog. coord)."	4	A	194.4	79.9	195.5	8	8				7.9667	0	Igneous : Extrusive	Lava Flow					-77.85	Trachyte	McMurdo	166.688	DE-FM : DE-DI	i		mc144	pmagpy-2.60	mc144a1 : mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2								4.8	7.7	-81.6	21.6	8
	1.9	0.06	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	28.6	2.7	378	6		6	0	t	5.9868	0	Igneous : Extrusive	Lava Flow					-78.24	Basalt	McMurdo	162.893	DE-FM : DA-DIR-GEO			mc145	pmagpy-2.60	mc145b1 : mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1												
	1.9	0.06	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.000006942	2.16E-07	3.105	4	-78.24	Basalt	McMurdo	162.893	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc145c : mc145f : mc145k : mc145l	mc145	pmagpy-2.60	mc145c2 : mc145f1 : mc145k2 : mc145l1												
	1.9	0.06	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc145, Site VGPA comp: (geog. coord)."	3.5	A	28.6	2.7	378	6	6				5.9868	0	Igneous : Extrusive	Lava Flow					-78.24	Basalt	McMurdo	162.893	DE-FM : DE-DI	i		mc145	pmagpy-2.60	mc145b1 : mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1								0.7	6.8	9	191.9	6
	1.9	0.06	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc145, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.000006942	2.16E-07	3.105	4	-78.24	Basalt	McMurdo	162.893	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc145c : mc145f : mc145k : mc145l	mc145	pmagpy-2.60	mc145c2 : mc145f1 : mc145k2 : mc145l1	9.12E+21	4	2.83E+20	1.79E+22	4	5.57E+20						
	1.37	0.21	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.6	A	236.3	62	117.8	7		7	0	r	6.9491	0	Igneous : Extrusive	Lava Flow					-78.22	Basalt	McMurdo	162.963	DE-FM : DA-DIR-GEO			mc146	pmagpy-2.60	mc146a1 : mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1												
	1.37	0.21	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00001721	7.09E-07	4.118	2	-78.22	Basalt	McMurdo	162.963	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc146e : mc146f	mc146	pmagpy-2.60	mc146e1 : mc146f1												
	1.37	0.21	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc146, Site VGPA comp: (geog. coord)."	5.6	A	236.3	62	117.8	7	7				6.9491	0	Igneous : Extrusive	Lava Flow					-78.22	Basalt	McMurdo	162.963	DE-FM : DE-DI	i		mc146	pmagpy-2.60	mc146a1 : mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1								2.4	10.8	-48.9	50.1	7
	1.37	0.21	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc146, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00001721	7.09E-07	4.118	2	-78.22	Basalt	McMurdo	162.963	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc146e : mc146f	mc146	pmagpy-2.60	mc146e1 : mc146f1	2.26E+22	2	9.31E+20	2.87E+22	2	1.18E+21						
	1.63	0.16	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	220.2	67.4	830.9	5		5	0	r	4.9952	0	Igneous : Extrusive	Lava Flow					-78.196	Basalt	McMurdo	162.962	DE-FM : DA-DIR-GEO			mc147	pmagpy-2.60	mc147a1 : mc147c1 : mc147i1 : mc147j2 : mc147k2												
	1.63	0.16	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002277	0.000002539	11.15	4	-78.196	Basalt	McMurdo	162.962	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc147a : mc147i : mc147j : mc147k	mc147	pmagpy-2.60	mc147a1 : mc147i1 : mc147j2 : mc147k2												
	1.63	0.16	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc147, Site VGPA comp: (geog. coord)."	2.7	A	220.2	67.4	830.9	5	5				4.9952	0	Igneous : Extrusive	Lava Flow					-78.196	Basalt	McMurdo	162.962	DE-FM : DE-DI	i		mc147	pmagpy-2.60	mc147a1 : mc147c1 : mc147i1 : mc147j2 : mc147k2								1.4	5.2	-58.5	35.1	5
	1.63	0.16	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc147, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002277	0.000002539	11.15	4	-78.196	Basalt	McMurdo	162.962	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc147a : mc147i : mc147j : mc147k	mc147	pmagpy-2.60	mc147a1 : mc147i1 : mc147j2 : mc147k2	2.99E+22	4	3.34E+21	3.54E+22	4	3.94E+21						
	0.718	0.33	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.7	A	282.1	-80.2	140.6	6		6	0	n	5.9644	0	Igneous : Extrusive	Lava Flow					-77.492	Basalt	McMurdo	167.249	DE-FM : DA-DIR-GEO			mc148	pmagpy-2.60	mc148a1 : mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1												
	0.718	0.33	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00005156	0.000001558	3.021	3	-77.492	Basalt	McMurdo	167.249	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT		mc148d : mc148i : mc148j	mc148	pmagpy-2.60	mc148d1 : mc148i1 : mc148j1												
	0.718	0.33	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc148, Site VGPA comp: (geog. coord)."	5.7	A	282.1	-80.2	140.6	6	6				5.9644	0	Igneous : Extrusive	Lava Flow					-77.492	Basalt	McMurdo	167.249	DE-FM : DE-DI	i		mc148	pmagpy-2.60	mc148a1 : mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1								7.3	11	69.6	53.9	6
	0.718	0.33	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc148, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00005156	0.000001558	3.021	3	-77.492	Basalt	McMurdo	167.249	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT	i	mc148d : mc148i : mc148j	mc148	pmagpy-2.60	mc148d1 : mc148i1 : mc148j1	6.79E+22	3	2.05E+21	6.95E+22	3	2.10E+21						
					This study															Igneous : Intrusive	Volcanic Dike					-77.486	Basalt	McMurdo	167.187				mc149														
					This study															Igneous : Intrusive	Volcanic Dike					-77.486	Basalt	McMurdo	167.187				mc149														
	1.33	0.01	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	166.3	84.2	819.9	9		9	0	r	8.9902	0	Igneous : Extrusive	Lava Flow					-77.47	Basalt	McMurdo	169.23	DE-FM : DA-DIR-GEO			mc15	pmagpy-2.60	mc15a : mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h												
	1.33	0.01	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00002802	0.000002569	9.167	3	-77.47	Basalt	McMurdo	169.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DA-AC-AARM		mc15b : mc15c : mc15h	mc15	pmagpy-2.60	mc15b : mc15c : mc15h												
	1.33	0.01	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc15, Site VGPA comp: (geog. coord)."	1.8	A	166.3	84.2	819.9	9	9				8.9902	0	Igneous : Extrusive	Lava Flow					-77.47	Basalt	McMurdo	169.23	DE-FM : DE-DI	i		mc15	pmagpy-2.60	mc15a : mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h								3.9	3.5	-87	232.5	9
	1.33	0.01	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc15, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00002802	0.000002569	9.167	3	-77.47	Basalt	McMurdo	169.23	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI : IE-TT : DA-AC-AARM	i	mc15b : mc15c : mc15h	mc15	pmagpy-2.60	mc15b : mc15c : mc15h	3.69E+22	3	3.38E+21	3.68E+22	3	3.37E+21						
	3.57	0.07	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.9	A	253.5	84.3	125.5	5		5	0	r	4.9681	0	Igneous : Extrusive	Lava Flow					-77.714	Basalt	McMurdo	162.637	DE-FM : DA-DIR-GEO			mc150	pmagpy-2.60	mc150b1 : mc150c1 : mc150e1 : mc150f1 : mc150g1												
	3.57	0.07	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc150, Site VGPA comp: (geog. coord)."	6.9	A	253.5	84.3	125.5	5	5				4.9681	0	Igneous : Extrusive	Lava Flow					-77.714	Basalt	McMurdo	162.637	DE-FM : DE-DI	i		mc150	pmagpy-2.60	mc150b1 : mc150c1 : mc150e1 : mc150f1 : mc150g1								14.8	13.3	-75.9	112.1	5
					This study															Igneous : Extrusive	Lava Flow					-77.486	Basalt	McMurdo	167.187				mc151														
	3.87	0.075	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.9	A	327.2	-85.3	1325.5	6		5	1	n	5.9966	0	Igneous : Intrusive	Volcanic Dike					-77.716	Basalt	McMurdo	162.645	DE-FM : DA-DIR-GEO			mc152	pmagpy-2.60	mc152a1 : mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1												
	3.87	0.075	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc152, Site VGPA comp: (geog. coord)."	1.9	A	327.2	-85.3	1325.5	6	6				5.9966	0	Igneous : Intrusive	Volcanic Dike					-77.716	Basalt	McMurdo	162.645	DE-FM : DE-DI	i		mc152	pmagpy-2.60	mc152a1 : mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1								4.9	3.7	83.3	31.5	6
	2.53	0.065	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.8	A	315.9	58.4	109.7	7		7	0	t	6.9453	0	Igneous : Extrusive	Lava Flow					-77.76	Basalt	McMurdo	162.144	DE-FM : DA-DIR-GEO			mc153	pmagpy-2.60	mc153a1 : mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1												
	2.53	0.065	Ma	@ltauxe	This study	IE-SPEC														Igneous : Extrusive	Lava Flow	0.00003448	0	0	1	-77.76	Basalt	McMurdo	162.144	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST : IE-TT		mc153c	mc153	pmagpy-2.60	mc153c1												
	2.53	0.065	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc153, Site VGPA comp: (geog. coord)."	5.8	A	315.9	58.4	109.7	7	7				6.9453	0	Igneous : Extrusive	Lava Flow					-77.76	Basalt	McMurdo	162.144	DE-FM : DE-DI	i		mc153	pmagpy-2.60	mc153a1 : mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1								2.3	11.2	-29.9	123.6	7
	2.19	0.04	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.7	A	297.9	87.1	429.1	5		5	0	r	4.9907	0	Igneous : Extrusive	Lava Flow					-77.719	Basalt	McMurdo	162.626	DE-FM : DA-DIR-GEO			mc154	pmagpy-2.60	mc154a1 : mc154b1 : mc154e1 : mc154f1 : mc154h1												
	2.19	0.04	Ma	@ltauxe	This study	IE-SPEC	Intensity included in Pmag_Results.													Igneous : Extrusive	Lava Flow	0.00000797	9.54E-07	11.96	2	-77.719	Basalt	McMurdo	162.626	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT		mc154a : mc154j	mc154	pmagpy-2.60	mc154a2 : mc154j2												
	2.19	0.04	Ma	@klawrenc	This study	DE-SITE	"VGP: Site (geog. coord) A comp: mc154, Site VGPA comp: (geog. coord)."	3.7	A	297.9	87.1	429.1	5	5				4.9907	0	Igneous : Extrusive	Lava Flow					-77.719	Basalt	McMurdo	162.626	DE-FM : DE-DI	i		mc154	pmagpy-2.60	mc154a1 : mc154b1 : mc154e1 : mc154f1 : mc154h1								15.6	7.1	-74.2	143.6	5
	2.19	0.04	Ma	@klawrenc	This study	IE-SITE	"V[A]DM: Site mc154, Site V [A] DM."													Igneous : Extrusive	Lava Flow	0.00000797	9.54E-07	11.96	2	-77.719	Basalt	McMurdo	162.626	LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI : IE-TT	i	mc154a : mc154j	mc154	pmagpy-2.60	mc154a2 : mc154j2	1.05E+22	2	1.25E+21	1.04E+22	2	1.24E+21						
	1.5	0.025	Ma	@ltauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.7	A	226.2	77.7	221.3	8		8	0	r	7.9684	0	Igneous : Extrusive	Lava Flow					-77.699	Basalt	McMurdo	162.253	DE-FM : DA-DIR-GEO			mc155	pmagpy-2.60	mc155a1 : mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1												
