tab	samples
sample	site	specimens	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	azimuth	dip	citations	method_codes	location	sample_direction_type	age	sample_inferred_age_sigma	sample_inferred_age_unit
sv07c	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			180	-62	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07d	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			225	-38	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07d	sv07	sv07d1	351.2	65.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07e	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			236	-39	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07f	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			252	-18	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07f	sv07	sv07f2	344.1	60.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07g	sv07	sv07g1	341.2	59.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07g	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			243	-12	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07h	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			219	-86	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07i	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			258	-53	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07i	sv07	sv07i1	352.3	64.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv07j	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			215	-59	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07j	sv07	sv07j1	200.3	24.6	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv07k	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			247	-51	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv07l	sv07								35.194	247.807	Igneous	Lava Flow	Basalt			193	-42	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08a	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			148.9	-19	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08a	sv08	sv08a1	173.5	-46.7	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08b	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			49.2	-27	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08b	sv08	sv08b1	165	-38.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08c	sv08	sv08c1	164.7	-41.1	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08c	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			35.5	-27	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08d	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			160.4	-14	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08d	sv08	sv08d1	160.9	-48.9	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08e	sv08	sv08e1	171.2	-53.8	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08e	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			146.2	-20	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08f	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			113.5	-13	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08g	sv08	sv08g1	169.4	-48.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08g	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			177	-19	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08h	sv08	sv08h1	156.6	-44.8	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.08	0.48	Ma
sv08h	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			74.2	-20	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08i	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			357.7	-6	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv08j	sv08								35.17	247.77	Igneous	Lava Flow	Basalt			182.8	-13	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv09a	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			62.4	-40	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09b	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			93.3	-61	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09c	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			46.7	-31	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09d	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			73.2	-21	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09e	sv09	sv09e1	242.7	-69	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.14	0.17	Ma
sv09e	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			72.6	-37	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
