tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv08h1	sv08h							Igneous	Lava Flow	Basalt						This study		
sv08h3	sv08h							Igneous	Lava Flow	Basalt						This study		
sv09a1	sv09a	sv09a1 : LP-DIR-AF	254	-10.3	20	0	26.5				723	0.03	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv09a1	sv09a							Igneous	Lava Flow	Basalt						This study		
sv09c1	sv09c							Igneous	Lava Flow	Basalt						This study		
sv09d1	sv09d							Igneous	Lava Flow	Basalt						This study		
sv09d2	sv09d							Igneous	Lava Flow	Basalt						This study		
sv09e1	sv09e							Igneous	Lava Flow	Basalt						This study		
sv09e1	sv09e	sv09e1 : LP-DIR-AF	242.7	-69	12	0	1.8				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv09f1	sv09f	sv09f1 : LP-DIR-AF	277	-61.2	13	0	2.1				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv09f1	sv09f							Igneous	Lava Flow	Basalt						This study		
sv09g1	sv09g							Igneous	Lava Flow	Basalt						This study		
sv09i1	sv09i	sv09i1 : LP-DIR-AF	242.5	-68.6	10	0	3.6				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv09i1	sv09i							Igneous	Lava Flow	Basalt						This study		
sv09j1	sv09j							Igneous	Lava Flow	Basalt						This study		
sv09j1	sv09j	sv09j1 : LP-DIR-AF	230.6	-67.7	9	0	3.2				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv09k1	sv09k							Igneous	Lava Flow	Basalt						This study		
sv09k2	sv09k							Igneous	Lava Flow	Basalt						This study		
sv10a1	sv10a							Igneous	Lava Flow	Basalt						This study		
sv10a1	sv10a	sv10a1 : LP-DIR-AF	222.6	45.2	12	0	1.2				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv10c1	sv10c							Igneous	Lava Flow	Basalt						This study		
sv10c1	sv10c	sv10c1 : LP-DIR-AF	264.7	14.7	12	0	3				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv10c2	sv10c							Igneous	Lava Flow	Basalt						This study		
sv10f1	sv10f							Igneous	Lava Flow	Basalt						This study		
sv10f1	sv10f	sv10f1 : LP-DIR-AF	344.5	-34.7	13	0	1.4				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv10g1	sv10g	sv10g1 : LP-DIR-AF	139.9	27.6	10	0	4.5				0.12	0.01	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv10g1	sv10g							Igneous	Lava Flow	Basalt						This study		
sv10j1	sv10j							Igneous	Lava Flow	Basalt						This study		
sv10j1	sv10j	sv10j1 : LP-DIR-AF	93.7	6	13	0	2.5				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv11a1	sv11a							Igneous	Lava Flow	Basalt						This study		
