tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA		XXX-UTESTA-001H_1A-150	XXX-UTESTA-001H_1A-150	XXX-UTESTA-001H_1A-150	FS-C-DRILL-IODP:SO-V	0	1.487	1.5		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-0	XXX-UTESTA-001H_2A-0	XXX-UTESTA-001H_2A-0	FS-C-DRILL-IODP:SO-V	0	1.487	1.5		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-5	XXX-UTESTA-001H_2A-5	XXX-UTESTA-001H_2A-5	FS-C-DRILL-IODP:SO-V	0	1.537	1.55		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-10	XXX-UTESTA-001H_2A-10	XXX-UTESTA-001H_2A-10	FS-C-DRILL-IODP:SO-V	0	1.586	1.6		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-15	XXX-UTESTA-001H_2A-15	XXX-UTESTA-001H_2A-15	FS-C-DRILL-IODP:SO-V	0	1.636	1.65		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-20	XXX-UTESTA-001H_2A-20	XXX-UTESTA-001H_2A-20	FS-C-DRILL-IODP:SO-V	0	1.685	1.7		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-25	XXX-UTESTA-001H_2A-25	XXX-UTESTA-001H_2A-25	FS-C-DRILL-IODP:SO-V	0	1.735	1.75		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-30	XXX-UTESTA-001H_2A-30	XXX-UTESTA-001H_2A-30	FS-C-DRILL-IODP:SO-V	0	1.784	1.8		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-35	XXX-UTESTA-001H_2A-35	XXX-UTESTA-001H_2A-35	FS-C-DRILL-IODP:SO-V	0	1.834	1.85		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-40	XXX-UTESTA-001H_2A-40	XXX-UTESTA-001H_2A-40	FS-C-DRILL-IODP:SO-V	0	1.883	1.9		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-45	XXX-UTESTA-001H_2A-45	XXX-UTESTA-001H_2A-45	FS-C-DRILL-IODP:SO-V	0	1.933	1.95		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-50	XXX-UTESTA-001H_2A-50	XXX-UTESTA-001H_2A-50	FS-C-DRILL-IODP:SO-V	0	1.983	2		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-55	XXX-UTESTA-001H_2A-55	XXX-UTESTA-001H_2A-55	FS-C-DRILL-IODP:SO-V	0	2.032	2.05		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-60	XXX-UTESTA-001H_2A-60	XXX-UTESTA-001H_2A-60	FS-C-DRILL-IODP:SO-V	0	2.082	2.1		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-65	XXX-UTESTA-001H_2A-65	XXX-UTESTA-001H_2A-65	FS-C-DRILL-IODP:SO-V	0	2.131	2.15		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-70	XXX-UTESTA-001H_2A-70	XXX-UTESTA-001H_2A-70	FS-C-DRILL-IODP:SO-V	0	2.181	2.2		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-75	XXX-UTESTA-001H_2A-75	XXX-UTESTA-001H_2A-75	FS-C-DRILL-IODP:SO-V	0	2.23	2.25		0	
This study	XXX	UTESTA		XXX-UTESTA-001H_2A-80	XXX-UTESTA-001H_2A-80	XXX-UTESTA-001H_2A-80	FS-C-DRILL-IODP:SO-V	0	2.28	2.3		0	
