tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108b	hw108b1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108b	hw108b2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108b	hw108b3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108b	hw108b4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108b	hw108b5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c10
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c11
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c12
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c13
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c7
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c8
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw108c	hw108c9
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a10
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a11
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a12
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a7
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a8
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw123a	hw123a9
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a7
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126a	hw126a8
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126b	hw126b1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126b	hw126b2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126b	hw126b3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126b	hw126b4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw126b	hw126b5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a10
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a11
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a7
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a8
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128a	hw128a9
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128b	hw128b1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128b	hw128b2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128b	hw128b3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128b	hw128b4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128b	hw128b5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128c	hw128c1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128c	hw128c2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128c	hw128c3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128c	hw128c4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128c	hw128c5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128d	hw128d1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128d	hw128d2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128d	hw128d3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128d	hw128d4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw128d	hw128d5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a10
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a11
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a12
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a7
