tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-10-17	LP-FORC-conventional_example	conventional_example	108	u	g	LP-FORC	108	0.1383267	6.427458e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-18	LP-FORC-conventional_example	conventional_example	109	u	g	LP-FORC	109	0.1411473	6.47974e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-10-19	LP-FORC-conventional_example	conventional_example	110	u	g	LP-FORC	110	0.143974	6.524981e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-0	LP-FORC-conventional_example	conventional_example	111	u	g	LP-FORC	111	0.2370435	7.831806e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-1	LP-FORC-conventional_example	conventional_example	112	u	g	LP-FORC	112	0.09004666	5.362799e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-2	LP-FORC-conventional_example	conventional_example	113	u	g	LP-FORC	113	0.09287136	5.445505e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-3	LP-FORC-conventional_example	conventional_example	114	u	g	LP-FORC	114	0.09574379	5.502565e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-4	LP-FORC-conventional_example	conventional_example	115	u	g	LP-FORC	115	0.09860875	5.590494e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-5	LP-FORC-conventional_example	conventional_example	116	u	g	LP-FORC	116	0.1014608	5.655922e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-6	LP-FORC-conventional_example	conventional_example	117	u	g	LP-FORC	117	0.1043101	5.720643e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-7	LP-FORC-conventional_example	conventional_example	118	u	g	LP-FORC	118	0.1071674	5.786339e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-8	LP-FORC-conventional_example	conventional_example	119	u	g	LP-FORC	119	0.1100049	5.855922e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-9	LP-FORC-conventional_example	conventional_example	120	u	g	LP-FORC	120	0.1128431	5.917683e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-10	LP-FORC-conventional_example	conventional_example	121	u	g	LP-FORC	121	0.1156729	5.987775e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-11	LP-FORC-conventional_example	conventional_example	122	u	g	LP-FORC	122	0.1185021	6.036196e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-12	LP-FORC-conventional_example	conventional_example	123	u	g	LP-FORC	123	0.1213355	6.095258e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-13	LP-FORC-conventional_example	conventional_example	124	u	g	LP-FORC	124	0.1241673	6.154473e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-14	LP-FORC-conventional_example	conventional_example	125	u	g	LP-FORC	125	0.1269969	6.217586e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-15	LP-FORC-conventional_example	conventional_example	126	u	g	LP-FORC	126	0.1298246	6.263722e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-16	LP-FORC-conventional_example	conventional_example	127	u	g	LP-FORC	127	0.1326506	6.326621e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-17	LP-FORC-conventional_example	conventional_example	128	u	g	LP-FORC	128	0.1354846	6.371031e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-18	LP-FORC-conventional_example	conventional_example	129	u	g	LP-FORC	129	0.1383242	6.428612e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-19	LP-FORC-conventional_example	conventional_example	130	u	g	LP-FORC	130	0.1411503	6.466322e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-20	LP-FORC-conventional_example	conventional_example	131	u	g	LP-FORC	131	0.1439764	6.525188e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-11-21	LP-FORC-conventional_example	conventional_example	132	u	g	LP-FORC	132	0.1467982	6.56886e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-0	LP-FORC-conventional_example	conventional_example	133	u	g	LP-FORC	133	0.2370436	7.830976e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-1	LP-FORC-conventional_example	conventional_example	134	u	g	LP-FORC	134	0.08722385	5.291062e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-2	LP-FORC-conventional_example	conventional_example	135	u	g	LP-FORC	135	0.09003767	5.361495e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-3	LP-FORC-conventional_example	conventional_example	136	u	g	LP-FORC	136	0.09292121	5.442397e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-4	LP-FORC-conventional_example	conventional_example	137	u	g	LP-FORC	137	0.09577825	5.509985e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-5	LP-FORC-conventional_example	conventional_example	138	u	g	LP-FORC	138	0.09863153	5.584917e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-6	LP-FORC-conventional_example	conventional_example	139	u	g	LP-FORC	139	0.1014814	5.648369e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-7	LP-FORC-conventional_example	conventional_example	140	u	g	LP-FORC	140	0.1043205	5.722312e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-8	LP-FORC-conventional_example	conventional_example	141	u	g	LP-FORC	141	0.1071786	5.789703e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-9	LP-FORC-conventional_example	conventional_example	142	u	g	LP-FORC	142	0.1100147	5.851735e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-10	LP-FORC-conventional_example	conventional_example	143	u	g	LP-FORC	143	0.1128532	5.920457e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-11	LP-FORC-conventional_example	conventional_example	144	u	g	LP-FORC	144	0.1156833	5.974446e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-12	LP-FORC-conventional_example	conventional_example	145	u	g	LP-FORC	145	0.1185107	6.044047e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-13	LP-FORC-conventional_example	conventional_example	146	u	g	LP-FORC	146	0.1213422	6.105643e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-14	LP-FORC-conventional_example	conventional_example	147	u	g	LP-FORC	147	0.1241731	6.153073e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-15	LP-FORC-conventional_example	conventional_example	148	u	g	LP-FORC	148	0.127	6.211746e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-16	LP-FORC-conventional_example	conventional_example	149	u	g	LP-FORC	149	0.1298277	6.26529e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-17	LP-FORC-conventional_example	conventional_example	150	u	g	LP-FORC	150	0.1326531	6.317812e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-18	LP-FORC-conventional_example	conventional_example	151	u	g	LP-FORC	151	0.1354906	6.378631e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-19	LP-FORC-conventional_example	conventional_example	152	u	g	LP-FORC	152	0.1383284	6.423789e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-20	LP-FORC-conventional_example	conventional_example	153	u	g	LP-FORC	153	0.1411516	6.476476e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-21	LP-FORC-conventional_example	conventional_example	154	u	g	LP-FORC	154	0.1439809	6.526809e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-22	LP-FORC-conventional_example	conventional_example	155	u	g	LP-FORC	155	0.146802	6.57566e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-12-23	LP-FORC-conventional_example	conventional_example	156	u	g	LP-FORC	156	0.1496254	6.618589e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-0	LP-FORC-conventional_example	conventional_example	157	u	g	LP-FORC	157	0.2370436	7.829818e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-1	LP-FORC-conventional_example	conventional_example	158	u	g	LP-FORC	158	0.08440866	5.20157e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-2	LP-FORC-conventional_example	conventional_example	159	u	g	LP-FORC	159	0.08721201	5.272927e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-3	LP-FORC-conventional_example	conventional_example	160	u	g	LP-FORC	160	0.09008714	5.368861e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-4	LP-FORC-conventional_example	conventional_example	161	u	g	LP-FORC	161	0.09295639	5.437593e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-5	LP-FORC-conventional_example	conventional_example	162	u	g	LP-FORC	162	0.09581085	5.501844e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-6	LP-FORC-conventional_example	conventional_example	163	u	g	LP-FORC	163	0.09865765	5.584708e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-7	LP-FORC-conventional_example	conventional_example	164	u	g	LP-FORC	164	0.1014989	5.641775e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-8	LP-FORC-conventional_example	conventional_example	165	u	g	LP-FORC	165	0.1043346	5.724093e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-9	LP-FORC-conventional_example	conventional_example	166	u	g	LP-FORC	166	0.107188	5.78619e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-10	LP-FORC-conventional_example	conventional_example	167	u	g	LP-FORC	167	0.1100249	5.855422e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-11	LP-FORC-conventional_example	conventional_example	168	u	g	LP-FORC	168	0.1128578	5.913028e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-12	LP-FORC-conventional_example	conventional_example	169	u	g	LP-FORC	169	0.1156891	5.977909e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-13	LP-FORC-conventional_example	conventional_example	170	u	g	LP-FORC	170	0.1185126	6.040271e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-14	LP-FORC-conventional_example	conventional_example	171	u	g	LP-FORC	171	0.121339	6.099234e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-15	LP-FORC-conventional_example	conventional_example	172	u	g	LP-FORC	172	0.1241744	6.146232e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-16	LP-FORC-conventional_example	conventional_example	173	u	g	LP-FORC	173	0.1270036	6.221332e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-17	LP-FORC-conventional_example	conventional_example	174	u	g	LP-FORC	174	0.1298291	6.263867e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-13-18	LP-FORC-conventional_example	conventional_example	175	u	g	LP-FORC	175	0.132653	6.317588e-07	2016-04-13T13:20:00
