tab	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	magic_method_codes	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
3.57	0.07	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.9	A	253.5	84.3	125.5	5.0		5.0	0.0	r	4.9681	0.0	Extrusive:Igneous	Lava Flow					-77.714	Basalt	McMurdo	162.637	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc150	pmagpy-2.60	mc150c1 : mc150e1 : mc150f1 : mc150g1:mc150b1											
3.57	0.07	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.9		253.5	84.3	125.5	5.0	5.0				4.9681	0.0							-77.714		McMurdo	162.637	DE-DI:DE-FM	DE-DI:DE-FM	i		mc150	pmagpy-2.60	mc150c1 : mc150e1 : mc150f1 : mc150g1:mc150b1							14.8	13.3	-75.9	112.1	5.0
																																	mc150													
				This study															Extrusive:Igneous	Lava Flow					-77.486	Basalt	McMurdo	167.187					mc151													
																																	mc151													
3.87	0.075	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.9	A	327.2	-85.3	1325.5	6.0		5.0	1.0	n	5.9966	0.0	Intrusive:Igneous	Volcanic Dike					-77.71600000000001	Basalt	McMurdo	162.645	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc152	pmagpy-2.60	mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1:mc152a1											
3.87	0.075	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.9		327.2	-85.3	1325.5	6.0	6.0				5.9966	0.0							-77.71600000000001		McMurdo	162.645	DE-DI:DE-FM	DE-DI:DE-FM	i		mc152	pmagpy-2.60	mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1:mc152a1							4.9	3.7	83.3	31.5	6.0
																																	mc152													
2.53	0.065	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.8	A	315.9	58.4	109.7	7.0		7.0	0.0	t	6.9453	0.0	Extrusive:Igneous	Lava Flow					-77.76	Basalt	McMurdo	162.144	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc153	pmagpy-2.60	mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1:mc153a1											
2.53	0.065	Ma	Lisa Tauxe	This study	IE-SPEC																3.448e-05	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST :LP-PI-TRM		mc153c	mc153	pmagpy-2.60	mc153c1											
2.53	0.065	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.8		315.9	58.4	109.7	7.0	7.0				6.9453	0.0							-77.76		McMurdo	162.144	DE-DI:DE-FM	DE-DI:DE-FM	i		mc153	pmagpy-2.60	mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1:mc153a1							2.3	11.2	-29.9	123.6	7.0
																																	mc153													
2.19	0.04	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.7	A	297.9	87.1	429.1	5.0		5.0	0.0	r	4.9907	0.0	Extrusive:Igneous	Lava Flow					-77.719	Basalt	McMurdo	162.626	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc154	pmagpy-2.60	mc154b1 : mc154e1 : mc154f1 : mc154h1:mc154a1											
2.19	0.04	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															7.97e-06	9.535e-07	11.96	2.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc154j:mc154a	mc154	pmagpy-2.60	mc154j2:mc154a2											
2.19	0.04	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.7		297.9	87.1	429.1	5.0	5.0				4.9907	0.0							-77.719		McMurdo	162.626	DE-DI:DE-FM	DE-DI:DE-FM	i		mc154	pmagpy-2.60	mc154b1 : mc154e1 : mc154f1 : mc154h1:mc154a1							15.6	7.1	-74.2	143.6	5.0
2.19	0.04	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															7.97e-06	9.535e-07	11.96	2.0	-77.719		McMurdo	162.626	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc154j:mc154a	mc154	pmagpy-2.60	mc154j2:mc154a2	1.048e+22	2.0	1.254e+21	1.035e+22	2.0	1.238e+21					
																																	mc154													
1.5	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.7	A	226.2	77.7	221.3	8.0		8.0	0.0	r	7.9684	0.0	Extrusive:Igneous	Lava Flow					-77.699	Basalt	McMurdo	162.253	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc155	pmagpy-2.60	mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1:mc155a1											
1.5	0.025	Ma	Lisa Tauxe	This study	IE-SPEC																2.893e-05	4.6039999999999995e-06	15.92	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc155h : mc155m:mc155c	mc155	pmagpy-2.60	mc155h1 : mc155m1:mc155c1											
1.5	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.7		226.2	77.7	221.3	8.0	8.0				7.9684	0.0							-77.699		McMurdo	162.253	DE-DI:DE-FM	DE-DI:DE-FM	i		mc155	pmagpy-2.60	mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1:mc155a1							3.7	7.1	-72.7	57.7	8.0
																																	mc155													
1.89	0.065	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	161.3	71.1	340.9	5.0		5.0	0.0	r	4.9883	0.0	Extrusive:Igneous	Lava Flow					-77.705	Basalt	McMurdo	162.592	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc156	pmagpy-2.60	mc156c1 : mc156f1 : mc156g1 : mc156h1:mc156a1											
1.89	0.065	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.2		161.3	71.1	340.9	5.0	5.0				4.9883	0.0							-77.705		McMurdo	162.592	DE-DI:DE-FM	DE-DI:DE-FM	i		mc156	pmagpy-2.60	mc156c1 : mc156f1 : mc156g1 : mc156h1:mc156a1							2.8	8.1	-66.9	315.0	5.0
																																	mc156													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.9	A	262.7	70.7	76.6	7.0		7.0	0.0	r	6.9217	0.0	Extrusive:Igneous	Lava Flow					-77.703	Basalt	McMurdo	162.264	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc157	pmagpy-2.60	mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1:mc157a2											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.9		262.7	70.7	76.6	7.0	7.0				6.9217	0.0							-77.703		McMurdo	162.264	DE-DI:DE-FM	DE-DI:DE-FM	i		mc157	pmagpy-2.60	mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1:mc157a2							4.4	13.3	-54.7	82.5	7.0
																																	mc157													
3.74	0.125	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.9	A	46.9	43.2	555.8	6.0		5.0	1.0	t	5.9919	0.0	Extrusive:Igneous	Lava Flow					-77.688	Basalt	McMurdo	162.46200000000002	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc158	pmagpy-2.60	mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1:mc158a1											
3.74	0.125	Ma	Lisa Tauxe	This study	IE-SPEC																4.5189999999999994e-06	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc158b	mc158	pmagpy-2.60	mc158b1											
3.74	0.125	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.9		46.9	43.2	555.8	6.0	6.0				5.9919	0.0							-77.688		McMurdo	162.46200000000002	DE-DI:DE-FM	DE-DI:DE-FM	i		mc158	pmagpy-2.60	mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1:mc158a1							0.8	5.6	-16.5	206.0	6.0
																																	mc158													
				This study															Extrusive:Igneous	Lava Flow					-77.51	Basalt	McMurdo	169.38					mc16													
																																	mc16													
3.47	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	227.9	76.2	227.7	10.0		8.0	2.0	r	9.9649	0.0	Extrusive:Igneous	Lava Flow					-77.687	Basalt	McMurdo	162.35399999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc160	pmagpy-2.60	mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2:mc160a1											
3.47	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.18e-05	1.296e-06	5.944	2.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc160f:mc160a	mc160	pmagpy-2.60	mc160f2:mc160a1											
3.47	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		227.9	76.2	227.7	10.0	10.0				9.9649	0.0							-77.687		McMurdo	162.35399999999998	DE-DI:DE-FM	DE-DI:DE-FM	i		mc160	pmagpy-2.60	mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2:mc160a1							2.9	6.2	-70.0	55.8	10.0
3.47	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.18e-05	1.296e-06	5.944	2.0	-77.687		McMurdo	162.35399999999998	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc160f:mc160a	mc160	pmagpy-2.60	mc160f2:mc160a1	2.868e+22	2.0	1.705e+21	3.05e+22	2.0	1.813e+21					
																																	mc160													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.1	A	171.3	55.1	281.0	6.0		5.0	1.0	r	5.984	0.0	Extrusive:Igneous	Lava Flow					-77.702	Basalt	McMurdo	162.694	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc161	pmagpy-2.60	mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1:mc161a1											
4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																4.95e-06	1.204e-06	24.31	2.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc161g:mc161b	mc161	pmagpy-2.60	mc161g1:mc161b1											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.1		171.3	55.1	281.0	6.0	6.0				5.984	0.0							-77.702		McMurdo	162.694	DE-DI:DE-FM	DE-DI:DE-FM	i		mc161	pmagpy-2.60	mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1:mc161a1							1.5	7.9	-47.8	332.2	6.0
																																	mc161													
2.56	0.065	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	174.6	58.1	270.7	7.0		5.0	2.0	r	6.9815	0.0	Extrusive:Igneous	Lava Flow					-77.70100000000001	Basalt	McMurdo	162.69	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc162	pmagpy-2.60	mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1:mc162b1											
2.56	0.065	Ma	Lisa Tauxe	This study	IE-SPEC																8.422999999999999e-06	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc162c	mc162	pmagpy-2.60	mc162c1											
2.56	0.065	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		174.6	58.1	270.7	7.0	7.0				6.9815	0.0							-77.70100000000001		McMurdo	162.69	DE-DI:DE-FM	DE-DI:DE-FM	i		mc162	pmagpy-2.60	mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1:mc162b1							1.5	7.3	-51.0	336.0	7.0
																																	mc162													
1.5	0.75	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	175.6	51.5	261.2	6.0		5.0	1.0	r	5.9828	0.0	Extrusive:Igneous	Lava Flow					-77.7	Basalt	McMurdo	162.68	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc163	pmagpy-2.60	mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1:mc163a1											
1.5	0.75	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.2		175.6	51.5	261.2	6.0	6.0				5.9828	0.0							-77.7		McMurdo	162.68	DE-DI:DE-FM	DE-DI:DE-FM	i		mc163	pmagpy-2.60	mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1:mc163a1							1.4	8.1	-44.4	337.5	6.0
																																	mc163													
1.364	0.05	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.1	A	199.9	86.1	1912.3	10.0		10.0	0.0	r	9.9953	0.0	Extrusive:Igneous	Lava Flow					-77.514	Basalt	McMurdo	169.33	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc164	pmagpy-2.60	mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2:mc164a1											
1.364	0.05	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															8.129e-05	6.482999999999999e-08	0.07975	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc164f : mc164j:mc164c	mc164	pmagpy-2.60	mc164f1 : mc164j1:mc164c1											
1.364	0.05	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.1		199.9	86.1	1912.3	10.0	10.0				9.9953	0.0							-77.514		McMurdo	169.33	DE-DI:DE-FM	DE-DI:DE-FM	i		mc164	pmagpy-2.60	mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2:mc164a1							3.5	2.1	-84.2	142.3	10.0
1.364	0.05	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															8.129e-05	6.482999999999999e-08	0.07975	3.0	-77.514		McMurdo	169.33	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc164f : mc164j:mc164c	mc164	pmagpy-2.60	mc164f1 : mc164j1:mc164c1	1.07e+23	3.0	8.533e+19	1.058e+23	3.0	8.44e+19					
																																	mc164													
1.4509999999999998	0.03	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.2	A	141.9	81.8	174.1	8.0		8.0	0.0	r	7.9598	0.0	Extrusive:Igneous	Lava Flow					-77.513	Basalt	McMurdo	169.332	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc165	pmagpy-2.60	mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2:mc165a1											
1.4509999999999998	0.03	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.628e-05	1.685e-06	6.412000000000001	4.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc165c : mc165h : mc165i:mc165b	mc165	pmagpy-2.60	mc165c1 : mc165h2 : mc165i2:mc165b1											
1.4509999999999998	0.03	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.2		141.9	81.8	174.1	8.0	8.0				7.9598	0.0							-77.513		McMurdo	169.332	DE-DI:DE-FM	DE-DI:DE-FM	i		mc165	pmagpy-2.60	mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2:mc165a1							6.4	8.1	-80.2	261.0	8.0
1.4509999999999998	0.03	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.628e-05	1.685e-06	6.412000000000001	4.0	-77.513		McMurdo	169.332	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc165c : mc165h : mc165i:mc165b	mc165	pmagpy-2.60	mc165c1 : mc165h2 : mc165i2:mc165b1	3.459e+22	4.0	2.218e+21	3.501e+22	4.0	2.245e+21					
																																	mc165													
1.334	0.06	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.2	A	224.9	73.8	634.1	8.0		8.0	0.0	r	7.989	0.0	Extrusive:Igneous	Lava Flow					-77.84899999999999	Basalt	McMurdo	166.67	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc166	pmagpy-2.60	mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2:mc166a1											
1.334	0.06	Ma	Lisa Tauxe	This study	IE-SPEC																2.911e-05	6.7160000000000014e-06	23.07	4.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc166c : mc166h : mc166i:mc166b	mc166	pmagpy-2.60	mc166c1 : mc166h2 : mc166i2:mc166b1											
1.334	0.06	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.2		224.9	73.8	634.1	8.0	8.0				7.989	0.0							-77.84899999999999		McMurdo	166.67	DE-DI:DE-FM	DE-DI:DE-FM	i		mc166	pmagpy-2.60	mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2:mc166a1							1.7	4.3	-67.0	51.6	8.0
																																	mc166													
1.5	0.75	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.7	A	179.7	74.5	82.1	9.0		9.0	0.0	r	8.9026	0.0	Extrusive:Igneous	Lava Flow					-77.487	Basalt	McMurdo	169.294	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc167	pmagpy-2.60	mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1:mc167a1											
1.5	0.75	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															4.346e-05	1.128e-06	2.596	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST :LP-PI-TRM		mc167d : mc167k:mc167b	mc167	pmagpy-2.60	mc167d2 : mc167k1:mc167b1											
1.5	0.75	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.7		179.7	74.5	82.1	9.0	9.0				8.9026	0.0							-77.487		McMurdo	169.294	DE-DI:DE-FM	DE-DI:DE-FM	i		mc167	pmagpy-2.60	mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1:mc167a1							4.6	11.0	-73.5	348.8	9.0
1.5	0.75	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															4.346e-05	1.128e-06	2.596	3.0	-77.487		McMurdo	169.294	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST :LP-PI-TRM	i	mc167d : mc167k:mc167b	mc167	pmagpy-2.60	mc167d2 : mc167k1:mc167b1	5.721e+22	3.0	1.485e+21	6.192e+22	3.0	1.607e+21					
																																	mc167													
1.38	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.0	A	187.3	68.2	398.3	7.0		7.0	0.0	r	6.9849	0.0	Extrusive:Igneous	Lava Flow					-77.488	Basalt	McMurdo	169.292	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc168	pmagpy-2.60	mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1:mc168c1											
1.38	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.0		187.3	68.2	398.3	7.0	7.0				6.9849	0.0							-77.488		McMurdo	169.292	DE-DI:DE-FM	DE-DI:DE-FM	i		mc168	pmagpy-2.60	mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1:mc168c1							1.8	5.8	-63.7	359.6	7.0
																																	mc168													
				This study															Extrusive:Igneous	Lava Flow					-77.491	Basalt	McMurdo	169.28					mc169													
																																	mc169													
1.03	0.05	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	0.9	A	2.7	-87.2	7835.9	5.0		5.0	0.0	n	4.9995	0.0	Extrusive:Igneous	Lava Flow					-77.854	Basalt	McMurdo	166.71400000000003	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc170	pmagpy-2.60	mc170c2 : mc170d1 : mc170e2 : mc170f1:mc170a1											
1.03	0.05	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	0.9		2.7	-87.2	7835.9	5.0	5.0				4.9995	0.0							-77.854		McMurdo	166.71400000000003	DE-DI:DE-FM	DE-DI:DE-FM	i		mc170	pmagpy-2.60	mc170c2 : mc170d1 : mc170e2 : mc170f1:mc170a1							3.9	1.7	83.4	344.4	5.0
																																	mc170													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.8	A	146.8	-78.4	474.8	7.0		6.0	1.0	n	6.9884	0.0	Extrusive:Igneous	Lava Flow					-77.86	Basalt	McMurdo	165.23	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc19	pmagpy-2.60	mc19b : mc19c : mc19d : mc19e : mc19f : mc19g:mc19a											
4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																2.518e-05	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc19b	mc19	pmagpy-2.60	mc19b											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.8		146.8	-78.4	474.8	7.0	7.0				6.9884	0.0							-77.86		McMurdo	165.23	DE-DI:DE-FM	DE-DI:DE-FM	i		mc19	pmagpy-2.60	mc19b : mc19c : mc19d : mc19e : mc19f : mc19g:mc19a							2.9	5.4	56.9	322.9	7.0
																																	mc19													
				This study		Basalt volcanic dike cutting eroded cone, Dailey Island. .													Intrusive:Igneous	Volcanic Dike					-77.88	Basalt	McMurdo	165.02					mc20													
0.77	0.016	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.9	A	138.7	-77.3	243.7	7.0		7.0	0.0	n	6.9754	0.0									McMurdo		DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc20	pmagpy-2.60	mc20b : mc20c : mc20d : mc20e : mc20f : mc20h:mc20a											
0.77	0.016	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.9		138.7	-77.3	243.7	7.0	7.0				6.9754	0.0							-77.88		McMurdo	165.02	DE-DI:DE-FM	DE-DI:DE-FM	i		mc20	pmagpy-2.60	mc20b : mc20c : mc20d : mc20e : mc20f : mc20h:mc20a							3.7	7.5	55.7	316.2	7.0
																																	mc20													
0.073	0.005	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.9	A	296.8	-83.7	389.6	5.0		5.0	0.0	n	4.9897	0.0	Extrusive:Igneous	Lava Flow					-77.54995	Phonolite	McMurdo	166.16148	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc200	pmagpy-2.60	mc200a2 : mc200b2 : mc200c2 : mc200d2:mc200a1											
0.073	0.005	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															1.431e-05	1.2220000000000001e-06	8.545	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-BT-MD :LP-PI-TRM		mc200c : mc200i:mc200b	mc200	pmagpy-2.60	mc200c1 : mc200i1:mc200b1											
0.073	0.005	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.9		296.8	-83.7	389.6	5.0	5.0				4.9897	0.0							-77.5499		McMurdo	166.1615	DE-DI:DE-FM	DE-DI:DE-FM	i		mc200	pmagpy-2.60	mc200a2 : mc200b2 : mc200c2 : mc200d2:mc200a1							7.7	7.5	77.0	45.2	5.0
0.073	0.005	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															1.431e-05	1.2220000000000001e-06	8.545	3.0	-77.54995		McMurdo	166.16148	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-BT-MD :LP-PI-TRM	i	mc200c : mc200i:mc200b	mc200	pmagpy-2.60	mc200c1 : mc200i1:mc200b1	1.883e+22	3.0	1.609e+21	1.883e+22	3.0	1.609e+21					
																																	mc200													
