tab	MAGIC_Measurements													
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_expedition_name	measurement_chi_volume	measurement_chi_qdr_volume	measurement_temp	measurement_freq	measurement_lab_field_ac	magic_instrument_codes	measurement_date	er_citation_names	magic_method_codes	magic_experiment_name
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.13E-05	2.81E-07	99.99716	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.52E-05	1.09E-06	109.9961	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.44E-05	9.90E-07	109.9961	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.37E-05	8.65E-07	109.9961	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.31E-05	7.56E-07	109.9961	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.26E-05	6.55E-07	109.9961	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.22E-05	5.44E-07	109.9961	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.18E-05	4.20E-07	109.9961	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.66E-05	1.38E-06	119.9903	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.56E-05	1.25E-06	119.9903	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.48E-05	1.10E-06	119.9903	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.40E-05	9.65E-07	119.9903	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.34E-05	8.40E-07	119.9903	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.28E-05	7.14E-07	119.9903	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
