tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
15-2-019	15-2-019					182.5	33.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.000732	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-021	15-2-021					168.8	56.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002278	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-021	15-2-021															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3160.0	1e-06	0.00145
15-2-024	15-2-024					149.6	57.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0021899999999999997	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-024	15-2-024															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3161.0	1e-06	0.001551
15-2-027	15-2-027					150.4	54.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002486	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-027	15-2-027															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3162.0	1e-06	0.001593
15-2-030	15-2-030					154.2	48.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001582	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-030	15-2-030															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3163.0	1e-06	0.001212
15-2-034	15-2-034															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3164.0	1e-06	0.001545
15-2-034	15-2-034					148.7	42.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001212	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-037	15-2-037															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3165.0	1e-06	0.001222
15-2-037	15-2-037					135.3	49.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0007224	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-040	15-2-040					156.3	32.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0008488999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-040	15-2-040															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3166.0	1e-06	0.0015810000000000002
15-2-043	15-2-043					146.6	22.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.000779	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-043	15-2-043															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3167.0	1e-06	0.0012050000000000001
15-2-046	15-2-046															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3168.0	1e-06	0.001725
15-2-046	15-2-046					161.7	1.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0004308	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-050	15-2-050															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3169.0	1e-06	0.001131
15-2-050	15-2-050					33.5	-86.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0003878	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-055	15-2-055					344.0	-45.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0006387000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-055	15-2-055															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3170.0	1e-06	0.001372
15-2-058	15-2-058															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3171.0	1e-06	0.001038
15-2-058	15-2-058					320.5	-71.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001795	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-2-061	15-2-061															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3172.0	1e-06	0.001082
15-2-061	15-2-061					340.5	-69.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001121	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
