tab	samples
citations	location	sample	site	method_codes	sample_core_depth
This study	DSDP Site 522	16-3-060	16-3-060	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.09
This study	DSDP Site 522	16-3-063	16-3-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.13
This study	DSDP Site 522	16-3-066	16-3-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.16
This study	DSDP Site 522	16-3-069	16-3-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.18
This study	DSDP Site 522	16-3-072	16-3-072	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.22
This study	DSDP Site 522	16-3-075	16-3-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.25
This study	DSDP Site 522	16-3-078	16-3-078	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.28
This study	DSDP Site 522	16-3-080	16-3-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.29
This study	DSDP Site 522	16-3-083	16-3-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.33
This study	DSDP Site 522	16-3-086	16-3-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.36
This study	DSDP Site 522	16-3-089	16-3-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.39
This study	DSDP Site 522	16-3-092	16-3-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.42
This study	DSDP Site 522	16-3-095	16-3-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.45
This study	DSDP Site 522	16-3-098	16-3-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.47
This study	DSDP Site 522	16-3-102	16-3-102	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.51
This study	DSDP Site 522	16-3-105	16-3-105	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.54
This study	DSDP Site 522	16-3-108	16-3-108	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.57
This study	DSDP Site 522	16-3-110	16-3-110	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.6
This study	DSDP Site 522	16-3-114	16-3-114	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.63
This study	DSDP Site 522	16-3-116	16-3-116	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.66
This study	DSDP Site 522	16-3-119	16-3-119	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.69
This study	DSDP Site 522	16-3-122	16-3-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.72
This study	DSDP Site 522	16-3-125	16-3-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.75
This study	DSDP Site 522	16-3-127	16-3-127	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.77
This study	DSDP Site 522	17-1-005	17-1-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.95
This study	DSDP Site 522	17-1-009	17-1-009	FS-C-DRILL-IODP:SP-SS-C:SO-V	63.98
This study	DSDP Site 522	17-1-012	17-1-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.01
This study	DSDP Site 522	17-1-015	17-1-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.04
This study	DSDP Site 522	17-1-018	17-1-018	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.08
This study	DSDP Site 522	17-1-021	17-1-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.11
This study	DSDP Site 522	17-1-022	17-1-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.12
This study	DSDP Site 522	17-1-023	17-1-023	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.13
This study	DSDP Site 522	17-1-026	17-1-026	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.16
This study	DSDP Site 522	17-1-030	17-1-030	FS-C-DRILL-IODP:SP-SS-C:SO-V	64.19
