tab 	specimens
sample	specimen
25-2-050	25-2-050
25-2-054	25-2-054
25-2-058	25-2-058
25-2-060	25-2-060
25-2-064	25-2-064
25-2-067	25-2-067
25-2-071	25-2-071
25-2-074	25-2-074
25-2-076	25-2-076
25-2-079	25-2-079
25-2-082	25-2-082
25-2-086	25-2-086
25-2-090	25-2-090
25-2-094	25-2-094
25-2-098	25-2-098
25-2-101	25-2-101
25-2-104	25-2-104
25-2-107	25-2-107
25-2-110	25-2-110
25-2-113	25-2-113
25-2-117	25-2-117
25-2-121	25-2-121
25-2-128	25-2-128
25-2-132	25-2-132
25-2-135	25-2-135
25-2-138	25-2-138
25-2-141	25-2-141
25-2-145	25-2-145
25-2-147	25-2-147
25-2-150	25-2-150
25-3-001	25-3-001
25-3-004	25-3-004
25-3-007	25-3-007
25-3-011	25-3-011
25-3-013	25-3-013
25-3-017	25-3-017
25-3-020	25-3-020
25-3-023	25-3-023
25-3-027	25-3-027
25-3-029	25-3-029
25-3-032	25-3-032
25-3-035	25-3-035
25-3-039	25-3-039
25-3-042	25-3-042
25-3-045	25-3-045
25-3-051	25-3-051
25-3-054	25-3-054
25-3-056	25-3-056
25-3-061	25-3-061
25-3-065	25-3-065
25-3-067	25-3-067
25-3-070	25-3-070
25-3-073	25-3-073
25-3-076	25-3-076
25-3-079	25-3-079
25-3-082	25-3-082
25-3-085	25-3-085
25-3-086	25-3-086
26-1-036	26-1-036
26-1-041	26-1-041
26-1-044	26-1-044
26-1-046	26-1-046
26-1-050	26-1-050
26-1-053	26-1-053
26-1-055	26-1-055
26-1-058	26-1-058
26-1-061	26-1-061
26-1-063	26-1-063
26-1-067	26-1-067
26-1-071	26-1-071
26-1-075	26-1-075
26-1-078	26-1-078
26-1-083	26-1-083
26-1-086	26-1-086
26-1-089	26-1-089
26-1-094	26-1-094
26-1-098	26-1-098
26-1-101	26-1-101
26-1-104	26-1-104
26-1-107	26-1-107
26-1-110	26-1-110
26-1-113	26-1-113
26-1-116	26-1-116
26-1-119	26-1-119
26-1-123	26-1-123
26-1-127	26-1-127
26-1-130	26-1-130
26-1-133	26-1-133
26-1-136	26-1-136
26-1-138	26-1-138
26-1-143	26-1-143
26-1-148	26-1-148
26-2-001	26-2-001
26-2-004	26-2-004
26-2-007	26-2-007
26-2-010	26-2-010
26-2-012	26-2-012
26-2-015	26-2-015
26-2-018	26-2-018
26-2-020	26-2-020
26-2-023	26-2-023
26-2-025	26-2-025
26-2-028	26-2-028
26-2-031	26-2-031
26-2-034	26-2-034
26-2-037	26-2-037
26-2-040	26-2-040
26-2-045	26-2-045
26-2-048	26-2-048
26-2-051	26-2-051
26-2-054	26-2-054
26-2-058	26-2-058
26-2-061	26-2-061
26-2-067	26-2-067
26-2-070	26-2-070
26-2-073	26-2-073
26-2-076	26-2-076
26-2-079	26-2-079
26-2-082	26-2-082
26-2-084	26-2-084
26-2-087	26-2-087
26-2-090	26-2-090
