tab	er_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
0525a592p3h	0525a592p3h2	61.27	149	450	50	1.00	-	13.00	7.00	0.85	0.70	0.78	0.22	0.03	0.81	2.82	2.99	-1.00
0525a592p3h	0525a592p3h3	61.27	125	475	50	1.00	-	15.00	7.00	0.98	0.78	0.79	0.13	0.04	1.01	1.80	4.36	-1.00
0525a594p1r	0525a594p1r1	68.24	175	375	50	1.00	-	9.00	5.00	0.90	0.56	0.71	0.25	0.07	5.50	19.96	8.28	-1.00
0525a594p1r	0525a594p1r3	68.23	250	375	50	1.00	-	6.00	5.00	0.85	0.63	0.64	0.44	0.06	0.44	3.51	3.63	-1.00
0543a132p03	0543a132p034	10.37	225	465	40	1.00	-	9.00	4.00	0.59	0.33	0.45	0.35	0.05	9.34	9.84	10.88	-1.00
0543a132p03	0543a132p031	7.91	0	500	40	1.00	-	15.00	3.00	0.96	0.69	0.86	0.19	0.08	13.74	3.49	12.49	-1.00
0543a152p3a	0543a152p3a1	8.78	200	500	40	1.00	-	11.00	4.00	0.83	0.26	0.29	0.19	0.06	3.11	8.27	6.40	-1.00
0543a152p3a	0543a152p3a4	8.79	200	525	40	1.00	-	12.00	4.00	0.83	0.22	0.31	0.18	0.05	5.69	5.15	8.80	-1.00
0556x031140	0556x0311402	14.19	150	475	40	1.00	-	12.00	5.00	0.87	0.31	0.49	0.18	0.09	2.98	2.13	7.67	-1.00
0556x031140	0556x0311401	14.30	150	450	40	1.00	-	12.00	6.00	0.85	0.33	0.39	0.19	0.09	5.09	16.44	9.04	-1.00
0556x041091	0556x0410913	12.39	200	275	40	1.00	-	4.00	3.00	0.35	0.29	0.30	0.35	0.06	5.25	11.19	8.82	-1.00
0556x041091	0556x0410912	21.57	100	375	40	1.00	-	11.00	4.00	0.89	0.35	0.59	0.29	0.10	13.21	10.79	13.22	-1.00
0556x041091	0556x0410915	11.95	200	275	40	1.00	-	4.00	3.00	0.30	0.27	0.27	0.39	0.07	1.69	11.26	4.65	-1.00
0556x041091	0556x0410914	10.84	275	425	40	1.00	-	7.00	6.00	0.30	0.27	0.32	0.21	0.07	8.95	13.34	11.42	-1.00
0556x051116	0556x0511166	22.84	100	400	40	1.00	-	11.00	6.00	0.60	0.47	0.59	0.25	0.07	10.97	14.14	7.79	-1.00
