tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is019b	is019	FS-FD:SO-POM	pmagpy-2.129	171.0	5.0	59.0	57.0
This study	Northern Iceland	is019c	is019	FS-FD:SO-POM	pmagpy-2.129	165.0	5.0	59.0	54.0
This study	Northern Iceland	is019d	is019	FS-FD:SO-POM	pmagpy-2.129	183.0	5.0	59.0	67.0
This study	Northern Iceland	is019e	is019	FS-FD:SO-POM	pmagpy-2.129	254.0	5.0	59.0	38.0
This study	Northern Iceland	is019f	is019	FS-FD:SO-POM	pmagpy-2.129	240.0	5.0	59.0	84.0
This study	Northern Iceland	is020a	is020	FS-FD:SO-POM	pmagpy-2.129	206.0	5.0	59.0	62.0
This study	Northern Iceland	is020b	is020	FS-FD:SO-POM	pmagpy-2.129	232.0	5.0	59.0	54.0
This study	Northern Iceland	is020c	is020	FS-FD:SO-POM	pmagpy-2.129	209.0	5.0	59.0	80.0
This study	Northern Iceland	is020d	is020	FS-FD:SO-POM	pmagpy-2.129	190.0	5.0	59.0	78.0
This study	Northern Iceland	is020e	is020	FS-FD:SO-POM	pmagpy-2.129	257.0	5.0	59.0	74.0
This study	Northern Iceland	is020f	is020	FS-FD:SO-POM	pmagpy-2.129	259.0	5.0	59.0	78.0
This study	Northern Iceland	is020g	is020	FS-FD:SO-POM	pmagpy-2.129	231.0	5.0	59.0	47.0
This study	Northern Iceland	is020h	is020	FS-FD:SO-POM	pmagpy-2.129	225.0	5.0	59.0	59.0
This study	Northern Iceland	is021a	is021	FS-FD:SO-POM	pmagpy-2.129	219.0	5.0	59.0	56.0
This study	Northern Iceland	is021b	is021	FS-FD:SO-POM	pmagpy-2.129	191.0	5.0	59.0	78.0
This study	Northern Iceland	is021c	is021	FS-FD:SO-POM	pmagpy-2.129	207.0	5.0	59.0	62.0
This study	Northern Iceland	is021d	is021	FS-FD:SO-POM	pmagpy-2.129	255.0	5.0	59.0	73.0
This study	Northern Iceland	is021e	is021	FS-FD:SO-POM	pmagpy-2.129	271.0	5.0	59.0	77.0
This study	Northern Iceland	is021f	is021	FS-FD:SO-POM	pmagpy-2.129	234.0	5.0	59.0	75.0
This study	Northern Iceland	is021g	is021	FS-FD:SO-POM	pmagpy-2.129	206.0	5.0	59.0	80.0
This study	Northern Iceland	is021h	is021	FS-FD:SO-POM	pmagpy-2.129	215.0	5.0	59.0	58.0
This study	Northern Iceland	is021i	is021	FS-FD:SO-POM	pmagpy-2.129	192.0	5.0	59.0	80.0
This study	Northern Iceland	is021j	is021	FS-FD:SO-POM	pmagpy-2.129	197.0	5.0	59.0	31.0
