tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	DSDP Site 522	16-3-119	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-122	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-125	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	16-3-127	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-005	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-009	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-012	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-015	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-018	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-021	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-022	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-023	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-026	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-030	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-035	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-040	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-042	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-045	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-048	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-051	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-054	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-058	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-061	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-064	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-066	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-069	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-072	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-075	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-079	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-081	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-085	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-087	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-091	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-094	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-097	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-100	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-103	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-107	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-110	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-113	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-116	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-119	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-123	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-125	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-128	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-131	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-134	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-137	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-141	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-144	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-147	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-1-150	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-004	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-008	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-011	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-013	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-017	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-020	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-024	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-027	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-030	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-033	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-037	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-040	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-043	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-046	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-049	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-052	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-056	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-059	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-063	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-066	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-070	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-073	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-076	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-080	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-083	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-086	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-090	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-094	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-097	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-099	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	17-2-103	sedimentary	s	nannofossil ooze	sedimentary layer
