tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Skouriotissa Phoenix 1	sp102301	sp102301	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102302	sp102302	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102303	sp102303	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102304	sp102304	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102305	sp102305	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102601	sp102601	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102602	sp102602	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102701	sp102701	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102702	sp102702	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102703	sp102703	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp102704	sp102704	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103001	sp103001	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103002	sp103002	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103003	sp103003	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103004	sp103004	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103101	sp103101	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103102	sp103102	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103201	sp103201	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103202	sp103202	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103301	sp103301	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103302	sp103302	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103303	sp103303	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103401	sp103401	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 1	sp103402	sp103402	-972	-1118	-826	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 2	sp200101	sp200101	-369	-402	-258	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Skouriotissa Phoenix 2	sp200301	sp200301	-369	-402	-258	Years Cal AD (+/-)	68% interval of Oxcal calibration. see Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100201	su100201	445	440	450	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100202	su100202	445	440	450	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100203	su100203	445	440	450	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100301	su100301	445	440	450	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100501	su100501	442	437	447	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
