tab 	sites
age_high	age_low	age_unit	citations	core_depth	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site
13	0	Ma	This study	8.55	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.05
13	0	Ma	This study	8.6	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.1
13	0	Ma	This study	8.65	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.15
13	0	Ma	This study	8.7	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.2
13	0	Ma	This study	8.75	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.25
13	0	Ma	This study	8.8	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.3
13	0	Ma	This study	8.85	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-001H_6A-1.35
13	0	Ma	This study	14.64	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-002H-4-W-114
13	0	Ma	This study	14.34	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-002H-4-W-84
13	0	Ma	This study	14.44	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-002H-4-W-94
13	0	Ma	This study	15.1	Sedimentary	Sediment Layer	-64.2457	Not Specified	U1361A	143.532	SO-V:FS-C-DRILL-IODP	g	i	318-U1361A-002H-5-W-10
