tab	contribution
magic_version	doi
3.0	10.1139/e74-113
>>>>>>>>>>
tab 	locations																																	
location_name	site_names	result_type	method_codes	citations	location_type	geologic_classes	lithologies	plate_blocks	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_sites	fold_test	conglomerate_test	contact_test	reversal_test	pole_comp_name	pole_lat	pole_lon	pole_alpha95	pole_n_sites	rock_magnetic_test	description
Osler Volcanics, Nipigon Strait, Lower Reversed				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.711501	48.66	271.93353	271.95	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Upper Normal				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.64	48.66	271.91	271.96	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Lower Reversed	6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	114.967445	-57.57295621	4.624479368	24.4024562	40.16441995	25	ND	ND	ND	ND	Characteristic	33.85573654	178.2632514	8.678164894	5	ND	All Reversed Flows
Osler Volcanics, Nipigon Strait, Upper Normal	1:2:3:4:5	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	296.4616437	39.46409514	8.47928537	4.951447891	82.38571031	5	ND	ND	ND	ND	Characteristic	43.6574194	196.3384635	5.853207367	25	ND	All Normal Flows
>>>>>>>>>>
tab 	sites
location_name	site_name	result_type	method_codes	citations	bed_dip	bed_dip_direction	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	conglomerate_test	vgp_lat	vgp_lon	vgp_n_samples	description
Osler Volcanics, Nipigon Strait, Lower Reversed	21		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	110	Extrusive	Lava Flow	Basalt			0	100.8	-45.9	84	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	21		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	110	Extrusive	Lava Flow	Basalt			100	94.3	-65.5	84	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	21	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.636336	271.88093	100	94.3	-65.5		1		ND	36.02033293	215.7287168	1	VGP:Site 21
Osler Volcanics, Nipigon Strait, Lower Reversed	22		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	110	Extrusive	Lava Flow	Basalt			0	97.9	-38.9	94	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	22		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	110	Extrusive	Lava Flow	Basalt			100	91.8	-58.2	94	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	22	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.643347	271.880385	100	91.8	-58.2		1		ND	29.16601039	208.8796723	1	VGP:Site 22
Osler Volcanics, Nipigon Strait, Lower Reversed	23		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	10	145	Extrusive	Lava Flow	Basalt			0	122.1	-55.1	69	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	23		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	10	145	Extrusive	Lava Flow	Basalt			100	114.3	-64	69	4	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	23	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.615971	271.842478	100	114.3	-64		1		ND	46.63994935	203.8825996	1	VGP:Site 23
Osler Volcanics, Nipigon Strait, Lower Reversed	24		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	145	Extrusive	Lava Flow	Basalt			0	122.2	-22.3	77	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	24		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	145	Extrusive	Lava Flow	Basalt			100	116.8	-40.4	77	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	24	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.678789	271.942681	100	116.8	-40.4		1		ND	34.61096611	178.2474147	1	VGP:Site 24
Osler Volcanics, Nipigon Strait, Lower Reversed	25		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	140	Extrusive	Lava Flow	Basalt			0	130.9	-39.2	166	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	25		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	140	Extrusive	Lava Flow	Basalt			100	126.3	-58.7	166	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	25	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.692757	271.951564	100	126.3	-58.7		1		ND	51.16529829	188.8934048	1	VGP:Site 25
Osler Volcanics, Nipigon Strait, Lower Reversed	26		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	140	Extrusive	Lava Flow	Basalt			0	127.6	-56.2	3634	3	r					
