tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
16-3-020	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.69	24.5647	Ma
16-3-023	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.72	24.5709	Ma
16-3-026	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.75	24.5771	Ma
16-3-028	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.78	24.5832	Ma
16-3-031	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.81	24.5894	Ma
16-3-034	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.84	24.5956	Ma
16-3-037	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.87	24.6017	Ma
16-3-040	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.9	24.6079	Ma
16-3-043	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.93	24.6141	Ma
16-3-045	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.95	24.6182	Ma
16-3-048	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	62.98	24.6244	Ma
16-3-051	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.01	24.6305	Ma
16-3-054	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.04	24.6367	Ma
16-3-057	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	63.07	24.6429	Ma
