tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	61.4		g	-74.1	5.68e-06	9	1	9.22e-08	3.57e-08	7.81e-09	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	57.6		g	-74.0	5.70e-06	10	1	4.76e-08	4.74e-08	5.96e-09	u	273	0	0	523.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	51.1		g	-73.3	5.51e-06	11	1	8.66e-08	4.69e-08	7.79e-09	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	51.1		g	-72.8	5.38e-06	12	1	1.17e-07	1.16e-07	7.95e-09	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	48.2		g	-72.8	5.35e-06	13	1	9.10e-08	6.15e-08	8.16e-09	u	273	0	0	673.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	49.3		g	-72.7	5.25e-06	14	1	8.33e-08	9.26e-08	8.05e-09	u	273	0	0	723.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	44.9		g	-72.6	5.10e-06	15	1	3.59e-08	2.51e-08	9.55e-09	u	273	0	0	773.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	48.7		g	-72.8	4.99e-06	16	1	8.85e-08	3.57e-08	1.05e-08	u	273	0	0	798.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	42.7		g	-72.5	4.49e-06	17	1	2.95e-08	2.13e-08	6.57e-09	u	273	0	0	823.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	45.4		g	-71.9	3.86e-06	18	1	1.48e-08	2.33e-08	6.71e-09	u	273	0	0	853.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	42.1		g	-72.0	3.83e-06	19	1	1.88e-08	2.72e-08	7.30e-09	u	273	0	0	868.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	43.8		g	-72.2	3.39e-06	20	1	2.12e-08	2.04e-08	7.81e-09	u	273	0	0	883.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	45.5		g	-72.1	3.35e-06	21	1	5.25e-08	7.00e-08	6.14e-09	u	273	0	0	898.0
This study	‘‘Mamainse	MP18-3	MP18	MP18-3	MP18-3:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	43.9		g	-72.6	2.56e-06	22	1	4.67e-08	3.23e-08	4.25e-09	u	273	0	0	913.0
