tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
African Plate	Drill Site	This study	Atlantic Ocean	-27	355	DSDP Site 522	-27	355
>>>>>>>>>>
tab 	er_samples
er_citation_names	er_site_name	er_sample_name	sample_core_depth	er_location_name	magic_method_codes
This study	16-3-080	16-3-080	63.29	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-083	16-3-083	63.33	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-086	16-3-086	63.36	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-089	16-3-089	63.39	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-092	16-3-092	63.42	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-095	16-3-095	63.45	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-098	16-3-098	63.47	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-102	16-3-102	63.51	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-105	16-3-105	63.54	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-108	16-3-108	63.57	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-110	16-3-110	63.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-114	16-3-114	63.63	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-116	16-3-116	63.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	16-3-119	16-3-119	63.69	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
