tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
	0.3461999893:0.3345000148:0.3194000125:-0.0066000000:-0.0043000001:-0.0049999999	15	0.0003	SI	0	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3462:0.3346:0.3192:-0.0067:-0.0043:-0.0050	15	0.0002	SI	-1	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3461999893:0.3346000016:0.3192000091:-0.0066999998:-0.0043000001:-0.0049999999	15	0.0002	SI	0	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3463:0.3346:0.3191:-0.0067:-0.0041:-0.0051	15	0.0002	SI	-1	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3463000059:0.3346000016:0.3190999925:-0.0066999998:-0.0041000000:-0.0051000002	15	0.0002	SI	0	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3460:0.3346:0.3193:-0.0066:-0.0042:-0.0050	15	0.0001	SI	-1	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
	0.3459999859:0.3346000016:0.3192999959:-0.0066000000:-0.0041999999:-0.0049999999	15	0.0001	SI	0	AMS	This study	318-U1356A-12R-3-W-10:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	318-U1356A-12R-3-W-10	
							This study			U1356A			318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	7.000e-06
	0.3362:0.3354:0.3283:0.0014:0.0009:-0.0007	15	0.0001	SI	-1	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3361999989:0.3353999853:0.3282999992:0.0014000000:0.0009000000:-0.0007000000	15	0.0001	SI	0	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3358:0.3353:0.3288:0.0014:0.0010:-0.0008	15	0.0001	SI	-1	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3357999921:0.3352999985:0.3287999928:0.0014000000:0.0010000000:-0.0008000000	15	0.0001	SI	0	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3361:0.3355:0.3285:0.0014:0.0009:-0.0009	15	0.0001	SI	-1	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3361000121:0.3355000019:0.3285000026:0.0014000000:0.0009000000:-0.0009000000	15	0.0001	SI	0	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
	0.3360:0.3355:0.3285:0.0013:0.0008:-0.0010	15	0.0002	SI	-1	AMS	This study	318-U1356A-13R-2-W-99:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	318-U1356A-13R-2-W-99	
