tab 	measurements
analysts	citations	description	experiment	instrument_codes	method_codes	quality	specimen	standard	susc_chi_volume
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-4-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-4-w-40	u	828.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-5-w-17_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-5-w-17	u	836.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-5-w-17_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-5-w-17	u	838.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-5-w-17_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-5-w-17	u	840.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-5-w-17_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-5-w-17	u	837.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-6-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-6-w-4	u	516.6E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-6-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-6-w-4	u	516.2E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-30r-6-w-4_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-30r-6-w-4	u	510.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-1-w-68_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-1-w-68	u	448.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-1-w-68_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-1-w-68	u	452.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-1-w-68_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-1-w-68	u	451.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-1-w-68_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-1-w-68	u	448.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-2-w-90_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-2-w-90	u	202.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-2-w-90_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-2-w-90	u	200.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-2-w-90_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-2-w-90	u	203.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-34r-3-w-95_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-34r-3-w-95	u	600.4E-06
