tab	measurements
analysts	citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Elliot Hurst	This study	179.55	-23.34	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	4.615e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_17	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	45	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	17	873.0
Elliot Hurst	This study	192.56	-75.12	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.6769999999999998e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_18	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	46	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	18	873.0
Elliot Hurst	This study	197.27	-78.62	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.674e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_19	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	47	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	19	893.0
Elliot Hurst	This study	178.86	-23.08	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	3.043e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_20	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	48	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	20	893.0
Elliot Hurst	This study	193.56	-76.51	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.406e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_21	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	49	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	21	853.0
Elliot Hurst	This study	179.74	-22.21	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	2.625e-07	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_22	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	50	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	22	913.0
Elliot Hurst	This study	193.86	-79.89	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.5380000000000001e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_23	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	51	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	23	913.0
Elliot Hurst	This study	217.41	-85.82	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.638e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_24	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	52	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	24	933.0
Elliot Hurst	This study	179.06	-25.26	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.2779999999999994e-08	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_25	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	53	ATPIPV04-6A	u	9999:99:99:99:99		0.0	0	90	25	933.0
Elliot Hurst	This study	219.09	-85.99	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.314e-06	273.0	ATPIPV04-6A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_26	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	54	ATPIPV04-6A	u	9999:99:99:99:99		3e-05	0	90	26	893.0
Elliot Hurst	This study	196.71	-17.16	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.534e-06	273.0	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_0	LT-NO:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	55	ATPIPV04-7N	u	9999:99:99:99:99		0.0	0	90	0	273.0
Elliot Hurst	This study	195.82	-16.92	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.509e-06	273.0	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_1	LT-AF-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	56	ATPIPV04-7N	u	9999:99:99:99:99	0.005	0.0	0	90	1	273.0
Elliot Hurst	This study	197.34	-16.6	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	1.253e-06	273.0	ATPIPV04-7N :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_2	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	57	ATPIPV04-7N	u	9999:99:99:99:99		0.0	0	90	2	673.0
