tab 	measurements
experiment	instrument_codes	magn_mass	magn_r2_det	meas_field_dc	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_dc_field
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1054		0.4378	300.0	IRM-VSM3-LP-HYS-218845-115	LP-HYS	g	12525	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1045		0.4328	300.0	IRM-VSM3-LP-HYS-218845-116	LP-HYS	g	12526	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1037		0.4279	300.0	IRM-VSM3-LP-HYS-218845-117	LP-HYS	g	12527	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1029		0.423	300.0	IRM-VSM3-LP-HYS-218845-118	LP-HYS	g	12528	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.102		0.4179	300.0	IRM-VSM3-LP-HYS-218845-119	LP-HYS	g	12529	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1012		0.4128	300.0	IRM-VSM3-LP-HYS-218845-120	LP-HYS	g	1253	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1003		0.4078	300.0	IRM-VSM3-LP-HYS-218845-121	LP-HYS	g	12531	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09947		0.4029	300.0	IRM-VSM3-LP-HYS-218845-122	LP-HYS	g	12532	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09859		0.3978	300.0	IRM-VSM3-LP-HYS-218845-123	LP-HYS	g	12533	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09772		0.3927	300.0	IRM-VSM3-LP-HYS-218845-124	LP-HYS	g	12534	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09686		0.3878	300.0	IRM-VSM3-LP-HYS-218845-125	LP-HYS	g	12535	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09601		0.3828	300.0	IRM-VSM3-LP-HYS-218845-126	LP-HYS	g	12536	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09515		0.3778	300.0	IRM-VSM3-LP-HYS-218845-127	LP-HYS	g	12537	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09426		0.3727	300.0	IRM-VSM3-LP-HYS-218845-128	LP-HYS	g	12538	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09339		0.3677	300.0	IRM-VSM3-LP-HYS-218845-129	LP-HYS	g	12539	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09255		0.3628	300.0	IRM-VSM3-LP-HYS-218845-130	LP-HYS	g	1254	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09168		0.3577	300.0	IRM-VSM3-LP-HYS-218845-131	LP-HYS	g	12541	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.09081		0.3527	300.0	IRM-VSM3-LP-HYS-218845-132	LP-HYS	g	12542	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.08993		0.3477	300.0	IRM-VSM3-LP-HYS-218845-133	LP-HYS	g	12543	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.08907		0.3427	300.0	IRM-VSM3-LP-HYS-218845-134	LP-HYS	g	12544	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.08822		0.3378	300.0	IRM-VSM3-LP-HYS-218845-135	LP-HYS	g	12545	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.08736		0.3328	300.0	IRM-VSM3-LP-HYS-218845-136	LP-HYS	g	12546	NED1-5c	u	2020:01:06:10:14:00.00	
